SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S4_40387026,4,40387026,8.29882282812298e-18,0.249391727493917,411,NA,NA,4.26252436920881e-13,NA
S3_217572130,3,217572130,7.71716633973158e-06,0.343065693430657,411,NA,NA,0.198188407353817,NA
S2_22947865,2,22947865,2.52765300044477e-05,0.160583941605839,411,NA,NA,0.299738615263169,NA
S2_22947869,2,22947869,2.52765300044477e-05,0.160583941605839,411,NA,NA,0.299738615263169,NA
S3_217237944,3,217237944,2.91784567941095e-05,0.255474452554745,411,NA,NA,0.299738615263169,NA
S3_225548498,3,225548498,5.32871368930784e-05,0.231143552311436,411,NA,NA,0.456164535373197,NA
S2_42801320,2,42801320,0.000110692381551787,0.343065693430657,411,NA,NA,0.658431898850948,NA
S2_41479835,2,41479835,0.000111985949843317,0.402676399026764,411,NA,NA,0.658431898850948,NA
S3_217837353,3,217837353,0.000122289959202113,0.225060827250608,411,NA,NA,0.658431898850948,NA
S3_216257315,3,216257315,0.000128191869410071,0.326034063260341,411,NA,NA,0.658431898850948,NA
S3_187471397,3,187471397,0.000167443040049117,0.396593673965937,411,NA,NA,0.717791329279112,NA
S3_187475555,3,187475555,0.000177636864019686,0.493917274939173,411,NA,NA,0.717791329279112,NA
S2_41479838,2,41479838,0.000181673330619872,0.462287104622871,411,NA,NA,0.717791329279112,NA
S3_217008621,3,217008621,0.000311808443121221,0.461070559610706,411,NA,NA,1,NA
S3_217572648,3,217572648,0.00038133229872958,0.476885644768856,411,NA,NA,1,NA
S3_216794873,3,216794873,0.000386759932834697,0.472019464720195,411,NA,NA,1,NA
S10_137479889,10,137479889,0.000407519197497048,0.198296836982968,411,NA,NA,1,NA
S3_160516097,3,160516097,0.000432907703243334,0.135036496350365,411,NA,NA,1,NA
S3_218835966,3,218835966,0.000439770071365372,0.0985401459854015,411,NA,NA,1,NA
S3_218835973,3,218835973,0.000439770071365372,0.0985401459854015,411,NA,NA,1,NA
S3_218835974,3,218835974,0.000439770071365372,0.0985401459854015,411,NA,NA,1,NA
S6_165164197,6,165164197,0.000461478982236415,0.257907542579075,411,NA,NA,1,NA
S7_111662597,7,111662597,0.000517303395184983,0.25669099756691,411,NA,NA,1,NA
S3_220678709,3,220678709,0.000527780477386726,0.160583941605839,411,NA,NA,1,NA
S3_217561370,3,217561370,0.000599894833654603,0.405109489051095,411,NA,NA,1,NA
S3_219064285,3,219064285,0.000615428648265846,0.300486618004866,411,NA,NA,1,NA
S8_14076155,8,14076155,0.000617127803982309,0.301703163017032,411,NA,NA,1,NA
S8_14076194,8,14076194,0.000617127803982309,0.301703163017032,411,NA,NA,1,NA
S4_237029997,4,237029997,0.00062481750743722,0.221411192214112,411,NA,NA,1,NA
S4_1938067,4,1938067,0.000652648516193436,0.39051094890511,411,NA,NA,1,NA
S3_6433220,3,6433220,0.000653806043027661,0.0693430656934306,411,NA,NA,1,NA
S2_9941635,2,9941635,0.000661148424055427,0.126520681265207,411,NA,NA,1,NA
S1_278604738,1,278604738,0.000713540240874623,0.215328467153285,411,NA,NA,1,NA
S3_156486164,3,156486164,0.000753995555162313,0.437956204379562,411,NA,NA,1,NA
S9_76064382,9,76064382,0.000762549871944534,0.401459854014598,411,NA,NA,1,NA
S3_218835977,3,218835977,0.000822704871548897,0.102189781021898,411,NA,NA,1,NA
S7_147061026,7,147061026,0.000855679103839245,0.469586374695864,411,NA,NA,1,NA
S4_29169159,4,29169159,0.000863482181951592,0.272506082725061,411,NA,NA,1,NA
S1_176054348,1,176054348,0.000894071612252906,0.0437956204379562,411,NA,NA,1,NA
S3_217895069,3,217895069,0.000950152423200677,0.148418491484185,411,NA,NA,1,NA
S4_170791486,4,170791486,0.000954649267251467,0.394160583941606,411,NA,NA,1,NA
S8_23661875,8,23661875,0.000957488462763036,0.24330900243309,411,NA,NA,1,NA
S5_67401104,5,67401104,0.00102538173218048,0.294403892944039,411,NA,NA,1,NA
S3_205362684,3,205362684,0.00103273158896079,0.290754257907543,411,NA,NA,1,NA
S1_6546326,1,6546326,0.00107486251568602,0.17639902676399,411,NA,NA,1,NA
S7_104175377,7,104175377,0.00108015066552903,0.246958637469586,411,NA,NA,1,NA
S3_221485359,3,221485359,0.00110145922651967,0.121654501216545,411,NA,NA,1,NA
S4_201878594,4,201878594,0.0011750771756026,0.141119221411192,411,NA,NA,1,NA
S4_31069634,4,31069634,0.00118612660858557,0.405109489051095,411,NA,NA,1,NA
S9_114025717,9,114025717,0.00126428466804533,0.333333333333333,411,NA,NA,1,NA
S8_23889019,8,23889019,0.00126932285947931,0.341849148418491,411,NA,NA,1,NA
S3_181616797,3,181616797,0.00128478323423328,0.238442822384428,411,NA,NA,1,NA
S8_165286201,8,165286201,0.00129331056817694,0.115571776155718,411,NA,NA,1,NA
S2_236026072,2,236026072,0.00130800229438208,0.193430656934307,411,NA,NA,1,NA
S1_280344385,1,280344385,0.00133560522025972,0.181265206812652,411,NA,NA,1,NA
S1_6546345,1,6546345,0.00139768006140873,0.177615571776156,411,NA,NA,1,NA
S7_127586454,7,127586454,0.00140592012959228,0.0766423357664233,411,NA,NA,1,NA
S4_198769482,4,198769482,0.00143406884240676,0.161800486618005,411,NA,NA,1,NA
S1_281908482,1,281908482,0.00144351095584113,0.21654501216545,411,NA,NA,1,NA
S1_259217670,1,259217670,0.00145615907312023,0.0717761557177615,411,NA,NA,1,NA
S1_266954497,1,266954497,0.00148840783610567,0.17639902676399,411,NA,NA,1,NA
S3_142730556,3,142730556,0.00149880013424274,0.289537712895377,411,NA,NA,1,NA
S10_87160862,10,87160862,0.00150941766354636,0.161800486618005,411,NA,NA,1,NA
S1_52091386,1,52091386,0.00156556717175436,0.405109489051095,411,NA,NA,1,NA
S3_2720088,3,2720088,0.00157237696059451,0.356447688564477,411,NA,NA,1,NA
S9_128094033,9,128094033,0.00158264800814442,0.0437956204379562,411,NA,NA,1,NA
S1_6546332,1,6546332,0.00158453602770902,0.178832116788321,411,NA,NA,1,NA
S6_85413883,6,85413883,0.00159544123725107,0.414841849148418,411,NA,NA,1,NA
S7_29176802,7,29176802,0.00159754723086402,0.135036496350365,411,NA,NA,1,NA
S8_173805800,8,173805800,0.001598922650095,0.193430656934307,411,NA,NA,1,NA
S2_204080452,2,204080452,0.00162799286287951,0.104622871046229,411,NA,NA,1,NA
S4_177432841,4,177432841,0.00165365873051595,0.148418491484185,411,NA,NA,1,NA
S1_51461771,1,51461771,0.00168373418304281,0.448905109489051,411,NA,NA,1,NA
S7_40571200,7,40571200,0.00172633471869124,0.260340632603406,411,NA,NA,1,NA
S7_131394545,7,131394545,0.00175233529462985,0.158150851581509,411,NA,NA,1,NA
S3_218188241,3,218188241,0.00180914410379193,0.293187347931874,411,NA,NA,1,NA
S3_166597996,3,166597996,0.00183400677516541,0.25669099756691,411,NA,NA,1,NA
S5_7223911,5,7223911,0.00186242271284247,0.232360097323601,411,NA,NA,1,NA
S5_67401054,5,67401054,0.00187107836188737,0.343065693430657,411,NA,NA,1,NA
S7_9049879,7,9049879,0.00187345804418363,0.138686131386861,411,NA,NA,1,NA
S1_52091347,1,52091347,0.00188072307078944,0.409975669099757,411,NA,NA,1,NA
S1_149313963,1,149313963,0.00188164989237309,0.24330900243309,411,NA,NA,1,NA
S2_184763232,2,184763232,0.00189316438998928,0.414841849148418,411,NA,NA,1,NA
S2_147324582,2,147324582,0.00189672203294077,0.0583941605839416,411,NA,NA,1,NA
S7_29176768,7,29176768,0.00189712505172053,0.175182481751825,411,NA,NA,1,NA
S9_133793818,9,133793818,0.00190065911691862,0.177615571776156,411,NA,NA,1,NA
S4_67652457,4,67652457,0.00192358924160298,0.139902676399027,411,NA,NA,1,NA
S7_82655904,7,82655904,0.00194479555107047,0.39051094890511,411,NA,NA,1,NA
S7_141546622,7,141546622,0.00195315199133942,0.17639902676399,411,NA,NA,1,NA
S5_193453045,5,193453045,0.00196074298639816,0.399026763990268,411,NA,NA,1,NA
S2_220751668,2,220751668,0.00199632379049807,0.476885644768856,411,NA,NA,1,NA
