Marker,Chrom,Position,Ref,Alt,general,additive
S1_10638,1,10638,0,1,NA,0.00714388857722525
S1_128373,1,128373,0,1,NA,-0.0225969132849713
S1_222471,1,222471,0,1,NA,-0.268815175614895
S1_267769,1,267769,0,1,NA,0.126830801168907
S1_985248,1,985248,0,1,NA,0.00813435284796604
S1_1000282,1,1000282,0,1,NA,0.0265690458707581
S1_1001511,1,1001511,0,1,NA,0.157803585257575
S1_1167803,1,1167803,0,1,NA,0.148302930012404
S1_1195312,1,1195312,0,1,NA,-0.0880760137629899
S1_1568364,1,1568364,0,1,NA,0.0188350755640716
S1_1665404,1,1665404,0,1,NA,0.00258348925288843
S1_1665418,1,1665418,0,1,NA,-0.0189204077314677
S1_1665430,1,1665430,0,1,NA,0.0473309162757722
S1_1686778,1,1686778,0,1,NA,0.039256655622431
S1_1763337,1,1763337,0,1,NA,-0.00876672152641689
S1_1763359,1,1763359,0,1,NA,0.0226356598461059
S1_1763421,1,1763421,0,1,NA,0.0192617548047576
S1_1780412,1,1780412,0,1,NA,0.26145983754345
S1_1787870,1,1787870,0,1,NA,-0.00725165344459455
S1_1787892,1,1787892,0,1,NA,-0.0107481857823881
S1_1792012,1,1792012,0,1,NA,0.0366300152663008
S1_1804228,1,1804228,0,1,NA,-0.0134656963853104
S1_1804237,1,1804237,0,1,NA,-0.0453055471421031
S1_1957407,1,1957407,0,1,NA,0.0302221512591032
S1_2032165,1,2032165,0,1,NA,-0.0118397974349769
S1_2089532,1,2089532,0,1,NA,0.0957175856801928
S1_2089585,1,2089585,0,1,NA,0.00389927348388852
S1_2091448,1,2091448,0,1,NA,0.0695010216072376
S1_2091497,1,2091497,0,1,NA,-0.0541355568769646
S1_2304094,1,2304094,0,1,NA,-0.00525442659499298
S1_2306736,1,2306736,0,1,NA,0.0192002625047287
S1_2306739,1,2306739,0,1,NA,0.0397083107135643
S1_2307001,1,2307001,0,1,NA,0.101453671268487
S1_2307011,1,2307011,0,1,NA,0.0409705423599291
S1_2307071,1,2307071,0,1,NA,0.0322012371334033
S1_2307256,1,2307256,0,1,NA,0.0482061352125687
S1_2307287,1,2307287,0,1,NA,0.0326328445295605
S1_2307305,1,2307305,0,1,NA,0.207361580781189
S1_2307776,1,2307776,0,1,NA,-0.091015441846146
S1_2336405,1,2336405,0,1,NA,0.0923064044717457
S1_2431751,1,2431751,0,1,NA,0.0983170846823089
S1_2466885,1,2466885,0,1,NA,0.320484410654462
S1_2467289,1,2467289,0,1,NA,0.0568848216733251
S1_2467298,1,2467298,0,1,NA,0.0730059976314017
S1_2467316,1,2467316,0,1,NA,0.0266387691768202
S1_2467319,1,2467319,0,1,NA,0.0901496747252484
S1_2467326,1,2467326,0,1,NA,0.160061648090124
S1_2467328,1,2467328,0,1,NA,0.133957941429689
S1_2467352,1,2467352,0,1,NA,0.0887865652575517
S1_2468221,1,2468221,0,1,NA,0.00458526110337942
S1_2469048,1,2469048,0,1,NA,0.206101793102858
S1_2469056,1,2469056,0,1,NA,-0.0367558339817649
S1_2469093,1,2469093,0,1,NA,-0.0235641936513957
S1_2470205,1,2470205,0,1,NA,0.0986704914685959
S1_2537494,1,2537494,0,1,NA,0.0470435582866333
S1_2540555,1,2540555,0,1,NA,-0.0328702604586244
S1_2544068,1,2544068,0,1,NA,-0.0538913760875683
S1_2657797,1,2657797,0,1,NA,0.0109576970181546
S1_2685989,1,2685989,0,1,NA,0.250970256440494
S1_2686010,1,2686010,0,1,NA,-0.0464328445776125
S1_2691832,1,2691832,0,1,NA,0.149733262633546
S1_2691875,1,2691875,0,1,NA,0.0363055277442754
S1_2691904,1,2691904,0,1,NA,0.137397390366743
S1_2693911,1,2693911,0,1,NA,0.0826729144395451
S1_2693968,1,2693968,0,1,NA,0.0296171139346804
S1_2693969,1,2693969,0,1,NA,-0.0200529098133906
S1_2693995,1,2693995,0,1,NA,0.0350892829475171
S1_2693998,1,2693998,0,1,NA,0.1021132360496
S1_2727652,1,2727652,0,1,NA,-0.0319421307902843
S1_2730433,1,2730433,0,1,NA,0.046489153517836
S1_2730435,1,2730435,0,1,NA,-0.00783318299937541
S1_2739890,1,2739890,0,1,NA,0.297383437118425
S1_2740904,1,2740904,0,1,NA,0.00942868556112941
S1_2740913,1,2740913,0,1,NA,-0.0125606559491782
S1_2740924,1,2740924,0,1,NA,-0.00802263718381369
S1_2740925,1,2740925,0,1,NA,-0.0118937445732215
S1_2745817,1,2745817,0,1,NA,-0.0306685761894236
S1_2746546,1,2746546,0,1,NA,0.239886059093863
S1_2747010,1,2747010,0,1,NA,0.114565478214233
S1_2748931,1,2748931,0,1,NA,0.131381567943308
S1_2753170,1,2753170,0,1,NA,0.0435191260871495
S1_2753256,1,2753256,0,1,NA,0.0414903921112728
S1_2753385,1,2753385,0,1,NA,-0.00945358636589688
S1_2753437,1,2753437,0,1,NA,-0.423023535505379
S1_2753738,1,2753738,0,1,NA,0.0164719309205701
S1_2754198,1,2754198,0,1,NA,0.116143439886267
S1_2754503,1,2754503,0,1,NA,0.00630282201156795
S1_2784031,1,2784031,0,1,NA,-0.0268875966450839
S1_2784065,1,2784065,0,1,NA,-0.0110737198082393
S1_2784178,1,2784178,0,1,NA,0.00640162455844973
