"Marker","Chrom","Position","Model","R2","pval"
"S1_45113462","1",45113462,"general",0.0154002585397989,0.0452182364960651
"S3_140125034","3",140125034,"general",0.000455103855137806,0.91318765250902
"S4_23190997","4",23190997,"general",0.00654132973908106,0.270013805417367
"S4_67652853","4",67652853,"general",-5.77315972805081e-15,1
"S4_71854462","4",71854462,"general",0.00487428127220213,0.377269019922094
"S4_75695119","4",75695119,"general",0.00711932204726029,0.240415963005625
"S4_76277190","4",76277190,"general",0.00355522148376208,0.49138345805002
"S4_76277210","4",76277210,"general",-1.24344978758018e-14,1
"S4_77982471","4",77982471,"general",0.00189209919543587,0.685346074868809
"S4_163994489","4",163994489,"general",-1.24344978758018e-14,1
"S5_186795813","5",186795813,"general",0.00011051246140048,0.978192836169296
"S5_212522433","5",212522433,"general",0.00183813695965895,0.692777937889642
"S3_140125034","3",140125034,"additive",6.88338275267597e-15,0.999998682044413
"S4_36516148","4",36516148,"additive",0.000178790883579305,0.789389961657525
"S4_67652853","4",67652853,"additive",3.44169137633799e-15,0.999999068064667
"S4_71854462","4",71854462,"additive",-2.22044604925031e-15,1
"S4_75695119","4",75695119,"additive",1.47659662275146e-14,0.999998060021904
"S4_76277190","4",76277190,"additive",-2.04281036531029e-14,1
"S4_76277210","4",76277210,"additive",-9.10382880192628e-15,1
"S4_77982471","4",77982471,"additive",1.11022302462516e-15,0.999999461946885
"S4_159193639","4",159193639,"additive",0.0125312931254866,0.0248892070038676
"S4_163994489","4",163994489,"additive",7.99360577730113e-15,0.999998576445264
"S5_186795813","5",186795813,"additive",-9.10382880192628e-15,1
"S5_212522433","5",212522433,"additive",6.88338275267597e-15,0.999998682044413
"S8_170287066","8",170287066,"additive",0.0286638297802784,0.00065810778344154
