Marker,Chrom,Position,Ref,Alt,general
S1_1000282,1,1000282,0,1,0.149717239801925
S1_2091448,1,2091448,0,1,0.156787616966539
S1_2307029,1,2307029,0,1,1.81732916490107
S1_2307053,1,2307053,0,1,0.254484756793458
S1_2307134,1,2307134,0,1,0.023457228108865
S1_2467316,1,2467316,0,1,0.0651592874026408
S1_2469048,1,2469048,0,1,0.549398356753387
S1_2469056,1,2469056,0,1,0.429190817951302
S1_2469082,1,2469082,0,1,0.549398356753387
S1_2469093,1,2469093,0,1,0.741944954408073
S1_2544060,1,2544060,0,1,0.116100755434132
S1_2691904,1,2691904,0,1,0.270641898052335
S1_2691906,1,2691906,0,1,0.270641898052335
S1_2693670,1,2693670,0,1,0.0798342577780057
S1_2693676,1,2693676,0,1,0.434985156648008
S1_2693869,1,2693869,0,1,0.293294880874518
S1_2693911,1,2693911,0,1,0.411259451686741
S1_2693995,1,2693995,0,1,0.166051705963318
S1_2694004,1,2694004,0,1,0.258362853258329
S1_2740925,1,2740925,0,1,0.141969299577465
S1_2753153,1,2753153,0,1,0.393682016702923
S1_2753327,1,2753327,0,1,0.406618262542833
S1_2753420,1,2753420,0,1,0.198883360580458
S1_2784213,1,2784213,0,1,0.513312285624933
S1_2784215,1,2784215,0,1,0.492944515879605
S1_2801538,1,2801538,0,1,0.597920929106699
S1_2803659,1,2803659,0,1,1.0051103089665
S1_2803686,1,2803686,0,1,0.600213025330506
S1_2937746,1,2937746,0,1,0.0440237112505293
S1_3010418,1,3010418,0,1,0.172089250736828
S1_3010423,1,3010423,0,1,0.172089250736828
S1_3010424,1,3010424,0,1,0.172089250736828
S1_3010434,1,3010434,0,1,0.172089250736828
S1_3010439,1,3010439,0,1,0.1741324412559
S1_3010445,1,3010445,0,1,0.16643137334763
S1_3010447,1,3010447,0,1,0.168725767643811
S1_3029136,1,3029136,0,1,0.0685124122063268
S1_3029139,1,3029139,0,1,0.0608319622692295
S1_3135749,1,3135749,0,1,0.339359515827622
S1_3135753,1,3135753,0,1,0.315361574417414
S1_3197144,1,3197144,0,1,0.14545221345006
S1_3197156,1,3197156,0,1,0.14432566910472
S1_3197160,1,3197160,0,1,0.48485066390902
S1_3197164,1,3197164,0,1,0.1597909976905
S1_3269687,1,3269687,0,1,0.440578580893353
S1_3279302,1,3279302,0,1,0.0334720209590746
S1_3282170,1,3282170,0,1,0.191736380352968
S1_3405322,1,3405322,0,1,0.103273565344392
S1_3405346,1,3405346,0,1,0.103273565344392
S1_3405632,1,3405632,0,1,0.0531244731739852
S1_3650455,1,3650455,0,1,0.196830004137051
S1_3703741,1,3703741,0,1,0.250879576354912
S1_3703762,1,3703762,0,1,0.04438427522286
S1_3739861,1,3739861,0,1,0.687218373487957
S1_4018295,1,4018295,0,1,0.288181023300566
S1_4040233,1,4040233,0,1,0.667808722092974
S1_4040251,1,4040251,0,1,0.998651204331136
S1_4452378,1,4452378,0,1,0.16280482594951
S1_4519154,1,4519154,0,1,0.134640036281694
S1_4548845,1,4548845,0,1,1.38275396956114
S1_4979298,1,4979298,0,1,0.297661893624508
S1_4994210,1,4994210,0,1,0.16703976145493
S1_5006696,1,5006696,0,1,0.459461529138262
S1_5091849,1,5091849,0,1,1.13767088898699
S1_5745185,1,5745185,0,1,0.0155387008577774
S1_5745195,1,5745195,0,1,0.174691604174935
S1_5745514,1,5745514,0,1,0.0746502713823787
S1_5745520,1,5745520,0,1,0.0502958755433917
S1_6220288,1,6220288,0,1,0.0411036733957499
S1_6220289,1,6220289,0,1,0.0411036733957499
S1_6234773,1,6234773,0,1,0.0973089434219974
S1_6234790,1,6234790,0,1,0.0857460191075712
S1_6234801,1,6234801,0,1,0.174287266802497
S1_6425499,1,6425499,0,1,0.132649133310022
S1_6425509,1,6425509,0,1,0.958203113971832
S1_6431158,1,6431158,0,1,0.11407862342574
S1_6431197,1,6431197,0,1,0.35118857885928
S1_6431227,1,6431227,0,1,0.164343506425362
S1_6433450,1,6433450,0,1,0.112120089444603
S1_6549984,1,6549984,0,1,0.203715509437879
S1_6850821,1,6850821,0,1,0.164589268332398
S1_6921570,1,6921570,0,1,1.24727429365439
S1_6922850,1,6922850,0,1,0.556933547497932
S1_6923719,1,6923719,0,1,0.458794459657611
S1_6923804,1,6923804,0,1,0.128513323611768
S1_7079762,1,7079762,0,1,1.23872230495083
S1_7091205,1,7091205,0,1,0.677138003754847
S1_7161470,1,7161470,0,1,0.346917256380773
S1_7161473,1,7161473,0,1,0.346917256380773
S1_7299841,1,7299841,0,1,0.627591285923487
S1_7355728,1,7355728,0,1,0.184897116962923
S1_7355735,1,7355735,0,1,0.494882296598687
S1_7355739,1,7355739,0,1,0.188243216227347
S1_7389879,1,7389879,0,1,0.00675807372013049
S1_7390282,1,7390282,0,1,0.0537995361856254
S1_7390746,1,7390746,0,1,0.145549218394491
S1_7390758,1,7390758,0,1,0.466422920926479
S1_7390769,1,7390769,0,1,0.429441661173778
S1_7390776,1,7390776,0,1,0.291374894015396
S1_7391420,1,7391420,0,1,0.150035587376811
S1_7397625,1,7397625,0,1,0.222720837085215
S1_8038925,1,8038925,0,1,0.309270209343055
S1_8271524,1,8271524,0,1,0.00828950748059133
S1_8355740,1,8355740,0,1,0.728423575027282
S1_8450316,1,8450316,0,1,0.984404612407878
S1_8538065,1,8538065,0,1,0.0546930857958743
S1_8538275,1,8538275,0,1,0.299379066458178
S1_8541287,1,8541287,0,1,0.168847712391476
S1_8637215,1,8637215,0,1,0.233637529288924
S1_8656801,1,8656801,0,1,0.236778951329647
S1_8656813,1,8656813,0,1,0.225997451915016
S1_9058898,1,9058898,0,1,0.688689415760174
S1_9058931,1,9058931,0,1,1.19533104602361
S1_9123511,1,9123511,0,1,0.745956044742025
S1_9216202,1,9216202,0,1,0.19602112885199
S1_9301439,1,9301439,0,1,0.655102690202666
S1_9396313,1,9396313,0,1,0.192324818012353
S1_9396331,1,9396331,0,1,0.605100485254759
S1_9437011,1,9437011,0,1,0.0142091268560628
S1_9526267,1,9526267,0,1,0.129378276173972
S1_9581609,1,9581609,0,1,0.155079396872297
S1_9581620,1,9581620,0,1,0.216026451121748
S1_9956400,1,9956400,0,1,0.725167349268209
S1_9956412,1,9956412,0,1,0.745343573417433
S1_9957099,1,9957099,0,1,0.264172240113078
S1_10096289,1,10096289,0,1,0.0682702996145685
S1_10436215,1,10436215,0,1,0.135947305949233
S1_10436225,1,10436225,0,1,0.000124179537294677
S1_10436226,1,10436226,0,1,0.286583912641428
S1_10436233,1,10436233,0,1,0.286583912641428
S1_10584075,1,10584075,0,1,0.393457373932936
S1_10584085,1,10584085,0,1,0.164118162640365
S1_10584153,1,10584153,0,1,0.384989724305804
S1_10826196,1,10826196,0,1,0.280962038872653
S1_10826945,1,10826945,0,1,0.396095362884275
S1_10826970,1,10826970,0,1,0.388660446203609
S1_10899900,1,10899900,0,1,0.317003805212685
S1_10960784,1,10960784,0,1,0.236173800321804
S1_10960811,1,10960811,0,1,0.191610226457918
S1_10960976,1,10960976,0,1,0.734368111424247
S1_11476884,1,11476884,0,1,0.236785848225313
S1_11533071,1,11533071,0,1,0.0234147287654199
S1_11793062,1,11793062,0,1,0.161135312671377
S1_11910984,1,11910984,0,1,0.53296523855382
S1_11911006,1,11911006,0,1,0.030511879349995
S1_11944909,1,11944909,0,1,0.209380136151934
S1_11949055,1,11949055,0,1,0.177285372252911
S1_11949092,1,11949092,0,1,0.153578849547733
S1_11949102,1,11949102,0,1,0.177285372252911
S1_11949112,1,11949112,0,1,0.00462088930360857
S1_11951941,1,11951941,0,1,0.187293952300422
S1_11951944,1,11951944,0,1,0.0357492920925407
S1_11992906,1,11992906,0,1,0.135572197994859
S1_12146738,1,12146738,0,1,0.0527285517822332
S1_12169653,1,12169653,0,1,0.0455450184886961
S1_12176349,1,12176349,0,1,0.643918096203369
S1_12176352,1,12176352,0,1,0.36903940306131
S1_12209994,1,12209994,0,1,0.152369794760355
S1_12256115,1,12256115,0,1,0.0606364969551438
S1_12309541,1,12309541,0,1,0.46790737736042
S1_12309645,1,12309645,0,1,0.289348689609561
S1_12309647,1,12309647,0,1,0.0613284759338935
S1_12344369,1,12344369,0,1,0.0369606909299162
S1_12344374,1,12344374,0,1,1.44267257697859
S1_12344470,1,12344470,0,1,0.746352689458602
S1_12357413,1,12357413,0,1,0.632713463635938
S1_12481563,1,12481563,0,1,0.022888910227606
S1_12481583,1,12481583,0,1,0.168482465562362
S1_12521405,1,12521405,0,1,0.0657209041709555
S1_12521523,1,12521523,0,1,1.73991380945219
S1_12521525,1,12521525,0,1,0.219398351516359
S1_12521527,1,12521527,0,1,1.73991380945219
S1_12852920,1,12852920,0,1,0.0618782283278196
S1_12855584,1,12855584,0,1,0.0343769748826219
S1_12855585,1,12855585,0,1,0.0343769748826219
S1_13643091,1,13643091,0,1,0.0749619304485241
S1_14032166,1,14032166,0,1,0.525657275639524
S1_14032198,1,14032198,0,1,0.609010390983411
S1_14033579,1,14033579,0,1,0.160894399644446
