Marker,Chrom,Position,Ref,Alt,diplo-general,diplo-additive
S1_10638,1,10638,0,1,NA,0.0185772541749149
S1_128373,1,128373,0,1,NA,-0.780956916689014
S1_222471,1,222471,0,1,NA,-1.68897533505322
S1_267769,1,267769,0,1,NA,-0.893943595092304
S1_985248,1,985248,0,1,NA,0.156955588803734
S1_1000282,1,1000282,0,1,NA,0.690962867498904
S1_1001511,1,1001511,0,1,NA,1.33294346638474
S1_1167803,1,1167803,0,1,NA,-0.242931734526258
S1_1195312,1,1195312,0,1,NA,-0.638513664353884
S1_1568364,1,1568364,0,1,NA,-0.450010403302249
S1_1665404,1,1665404,0,1,NA,0.279685506660902
S1_1665418,1,1665418,0,1,NA,-0.549243787558575
S1_1665430,1,1665430,0,1,NA,0.875155343269555
S1_1686778,1,1686778,0,1,NA,1.1704596459293
S1_1763337,1,1763337,0,1,NA,-0.131286165203436
S1_1763359,1,1763359,0,1,NA,1.02790388437217
S1_1763421,1,1763421,0,1,NA,0.201800228460801
S1_1780412,1,1780412,0,1,NA,2.32272985764557
S1_1787870,1,1787870,0,1,NA,0.309676951121845
S1_1787892,1,1787892,0,1,NA,-0.161715707819368
S1_1792012,1,1792012,0,1,NA,-0.531691131195256
S1_1804228,1,1804228,0,1,NA,0.55317673069745
S1_1804237,1,1804237,0,1,NA,0.230678963747699
S1_1957407,1,1957407,0,1,NA,-0.14521562124234
S1_2032165,1,2032165,0,1,NA,-0.359007824709836
S1_2089532,1,2089532,0,1,NA,0.425779131149344
S1_2089585,1,2089585,0,1,NA,-0.459361314168911
S1_2091448,1,2091448,0,1,NA,-0.0668962032924912
S1_2091497,1,2091497,0,1,NA,1.17194945642833
S1_2304094,1,2304094,0,1,NA,-1.16872064076303
S1_2306736,1,2306736,0,1,NA,-0.553365858459393
S1_2306739,1,2306739,0,1,NA,-0.152973938582352
S1_2307001,1,2307001,0,1,NA,0.131655599324334
S1_2307011,1,2307011,0,1,NA,0.869365099180382
S1_2307071,1,2307071,0,1,NA,-0.102955049924613
S1_2307256,1,2307256,0,1,NA,0.892058781335688
S1_2307287,1,2307287,0,1,NA,0.382838979438494
S1_2307305,1,2307305,0,1,NA,0.707747728158174
