"Trait","Model","Threshold","Marker","Chrom","Position","Ref","Alt","Score","Effect"
"Fructose","general",5.31,"S3_217237920","3",217237920,0,1,5.31," NA"
"Fructose","general",5.31,"S3_217237944","3",217237944,0,1,6.03," NA"
"Fructose","general",5.31,"S3_217572130","3",217572130,0,1,5.32," NA"
"Fructose","general",5.31,"S4_37297448","4",37297448,0,1,7.86," NA"
"Fructose","general",5.31,"S4_37324338","4",37324338,0,1,6.61," NA"
"Fructose","general",5.31,"S4_37324361","4",37324361,0,1,5.82," NA"
"Fructose","general",5.31,"S4_38028987","4",38028987,0,1,5.35," NA"
"Fructose","general",5.31,"S4_39543066","4",39543066,0,1,9.5," NA"
"Fructose","general",5.31,"S4_39544019","4",39544019,0,1,5.39," NA"
"Fructose","general",5.31,"S4_39544121","4",39544121,0,1,6.26," NA"
"Fructose","general",5.31,"S4_39558331","4",39558331,0,1,6.51," NA"
"Fructose","general",5.31,"S4_39599205","4",39599205,0,1,11.33," NA"
"Fructose","general",5.31,"S4_39599913","4",39599913,0,1,8.04," NA"
"Fructose","general",5.31,"S4_40700576","4",40700576,0,1,8.7," NA"
"Fructose","general",5.31,"S4_40700597","4",40700597,0,1,6.07," NA"
"Fructose","general",5.31,"S4_41192934","4",41192934,0,1,11.16," NA"
"Fructose","general",5.31,"S4_41837254","4",41837254,0,1,9.06," NA"
"Fructose","general",5.31,"S4_41837298","4",41837298,0,1,6.26," NA"
"Fructose","general",5.31,"S4_42817250","4",42817250,0,1,7.24," NA"
"Fructose","general",5.31,"S4_67652163","4",67652163,0,1,5.5," NA"
