"Trait","Model","Threshold","Marker","Chrom","Position","Ref","Alt","Score","Effect"
"Total.Polysaccharides.BLUP","general",4.52,"S1_5089486","1",5089486,0,1,5.18,NA
"Total.Polysaccharides.BLUP","general",4.52,"S1_195775891","1",195775891,0,1,5.27,NA
"Total.Polysaccharides.BLUP","general",4.52,"S1_208315774","1",208315774,0,1,5.12,NA
"Total.Polysaccharides.BLUP","general",4.52,"S1_225040506","1",225040506,0,1,5.19,NA
"Total.Polysaccharides.BLUP","general",4.52,"S1_234771064","1",234771064,0,1,5.89,NA
"Total.Polysaccharides.BLUP","general",4.52,"S1_271001512","1",271001512,0,1,4.62,NA
"Total.Polysaccharides.BLUP","general",4.52,"S2_43558796","2",43558796,0,1,5.43,NA
"Total.Polysaccharides.BLUP","general",4.52,"S2_140889426","2",140889426,0,1,4.71,NA
"Total.Polysaccharides.BLUP","general",4.52,"S2_179655217","2",179655217,0,1,5.03,NA
"Total.Polysaccharides.BLUP","general",4.52,"S2_180156064","2",180156064,0,1,5.02,NA
"Total.Polysaccharides.BLUP","general",4.52,"S3_148612269","3",148612269,0,1,6.37,NA
"Total.Polysaccharides.BLUP","general",4.52,"S3_205375739","3",205375739,0,1,5.14,NA
"Total.Polysaccharides.BLUP","general",4.52,"S3_216989086","3",216989086,0,1,4.57,NA
"Total.Polysaccharides.BLUP","general",4.52,"S3_217096907","3",217096907,0,1,4.85,NA
"Total.Polysaccharides.BLUP","general",4.52,"S4_10804062","4",10804062,0,1,4.87,NA
"Total.Polysaccharides.BLUP","general",4.52,"S5_16091757","5",16091757,0,1,6.14,NA
"Total.Polysaccharides.BLUP","general",4.52,"S5_74917642","5",74917642,0,1,4.57,NA
"Total.Polysaccharides.BLUP","general",4.52,"S5_166934374","5",166934374,0,1,4.99,NA
"Total.Polysaccharides.BLUP","general",4.52,"S5_195455216","5",195455216,0,1,6.07,NA
"Total.Polysaccharides.BLUP","general",4.52,"S5_214949914","5",214949914,0,1,4.98,NA
"Total.Polysaccharides.BLUP","general",4.52,"S6_86755420","6",86755420,0,1,4.88,NA
"Total.Polysaccharides.BLUP","general",4.52,"S6_112368061","6",112368061,0,1,5.03,NA
"Total.Polysaccharides.BLUP","general",4.52,"S6_122728099","6",122728099,0,1,4.83,NA
"Total.Polysaccharides.BLUP","general",4.52,"S6_150802426","6",150802426,0,1,5.16,NA
"Total.Polysaccharides.BLUP","general",4.52,"S6_155523745","6",155523745,0,1,5.35,NA
"Total.Polysaccharides.BLUP","general",4.52,"S7_8522374","7",8522374,0,1,5.02,NA
"Total.Polysaccharides.BLUP","general",4.52,"S7_161950560","7",161950560,0,1,5.18,NA
"Total.Polysaccharides.BLUP","general",4.52,"S8_19961824","8",19961824,0,1,4.96,NA
"Total.Polysaccharides.BLUP","general",4.52,"S8_86684603","8",86684603,0,1,5.24,NA
"Total.Polysaccharides.BLUP","general",4.52,"S8_130851735","8",130851735,0,1,5.12,NA
"Total.Polysaccharides.BLUP","general",4.52,"S8_144458353","8",144458353,0,1,5.37,NA
"Total.Polysaccharides.BLUP","general",4.52,"S9_8023059","9",8023059,0,1,5.32,NA
"Total.Polysaccharides.BLUP","general",4.52,"S9_8023075","9",8023075,0,1,5.01,NA
"Total.Polysaccharides.BLUP","general",4.52,"S9_22098035","9",22098035,0,1,5.01,NA
"Total.Polysaccharides.BLUP","general",4.52,"S9_86864208","9",86864208,0,1,5.01,NA
"Total.Polysaccharides.BLUP","general",4.52,"S9_124569120","9",124569120,0,1,5.05,NA
"Total.Polysaccharides.BLUP","general",4.52,"S10_26349968","10",26349968,0,1,4.55,NA
"Total.Polysaccharides.BLUP","general",4.52,"S10_95126070","10",95126070,0,1,4.73,NA
