Marker,Chrom,Position,Ref,Alt,general,additive
S1_10638,1,10638,0,1,NA,0.165374620483306
S1_128373,1,128373,0,1,NA,-0.451634794666916
S1_222471,1,222471,0,1,NA,NA
S1_267769,1,267769,0,1,NA,1.12889554923379
S1_985248,1,985248,0,1,NA,0.171971339871106
S1_1000282,1,1000282,0,1,NA,0.443616360240696
S1_1001511,1,1001511,0,1,NA,NA
S1_1167803,1,1167803,0,1,NA,NA
S1_1195312,1,1195312,0,1,NA,-0.538432820303683
S1_1568364,1,1568364,0,1,NA,-0.00163940379712813
S1_1665404,1,1665404,0,1,NA,-0.29562134868786
S1_1665418,1,1665418,0,1,NA,0.103497154298253
S1_1665430,1,1665430,0,1,NA,0.156182251229779
S1_1686778,1,1686778,0,1,NA,0.284773687814493
S1_1763337,1,1763337,0,1,NA,-0.323613743777514
S1_1763359,1,1763359,0,1,NA,0.690673553951683
S1_1763421,1,1763421,0,1,NA,0.112937793851415
S1_1780412,1,1780412,0,1,NA,NA
S1_1787870,1,1787870,0,1,NA,-0.0498517259393338
S1_1787892,1,1787892,0,1,NA,-0.303002159124048
S1_1792012,1,1792012,0,1,NA,-0.451610841908632
S1_1804228,1,1804228,0,1,NA,0.0303508219878381
S1_1804237,1,1804237,0,1,NA,-0.0443273131844535
S1_1957407,1,1957407,0,1,NA,-0.17415608994628
S1_2032165,1,2032165,0,1,NA,-0.512068890820672
S1_2089532,1,2089532,0,1,NA,0.571311653765179
S1_2089585,1,2089585,0,1,NA,-0.241317335815779
S1_2091448,1,2091448,0,1,NA,0.445044026303094
S1_2091497,1,2091497,0,1,NA,-0.0520692275028409
S1_2304094,1,2304094,0,1,NA,0.00714209140306821
S1_2306736,1,2306736,0,1,NA,0.0242163537282636
S1_2306739,1,2306739,0,1,NA,0.163755287544745
S1_2307001,1,2307001,0,1,NA,0.496312473480259
S1_2307011,1,2307011,0,1,NA,0.614089267477709
S1_2307071,1,2307071,0,1,NA,0.0100954907410369
S1_2307256,1,2307256,0,1,NA,0.320763282250397
S1_2307287,1,2307287,0,1,NA,0.287609369605889
S1_2307305,1,2307305,0,1,NA,NA
S1_2307776,1,2307776,0,1,NA,-0.408237492726414
S1_2336405,1,2336405,0,1,NA,0.773056801278301
S1_2431751,1,2431751,0,1,NA,0.247040422963778
S1_2466885,1,2466885,0,1,NA,NA
S1_2467289,1,2467289,0,1,NA,0.380716046032035
S1_2467298,1,2467298,0,1,NA,0.222580728497405
S1_2467316,1,2467316,0,1,NA,0.265488117204995
S1_2467319,1,2467319,0,1,NA,0.0850140600342115
S1_2467326,1,2467326,0,1,NA,1.07141351407188
S1_2467328,1,2467328,0,1,NA,NA
S1_2467352,1,2467352,0,1,NA,-0.135451307812104
S1_2468221,1,2468221,0,1,NA,-0.261688622109375
S1_2469048,1,2469048,0,1,NA,1.47847702753978
S1_2469056,1,2469056,0,1,NA,-1.04306162377435
S1_2469093,1,2469093,0,1,NA,-0.54390093059726
S1_2470205,1,2470205,0,1,NA,0.0647888141763531
S1_2537494,1,2537494,0,1,NA,-0.215412498864794
S1_2540555,1,2540555,0,1,NA,NA
S1_2544068,1,2544068,0,1,NA,NA
S1_2657797,1,2657797,0,1,NA,-0.239838806031827
S1_2685989,1,2685989,0,1,NA,1.26391289568835
S1_2686010,1,2686010,0,1,NA,-0.109086724516317
S1_2691832,1,2691832,0,1,NA,0.925877067006525
S1_2691875,1,2691875,0,1,NA,-0.0969431021360947
S1_2691904,1,2691904,0,1,NA,1.21144190086329
S1_2693911,1,2693911,0,1,NA,0.230720532708176
S1_2693968,1,2693968,0,1,NA,-0.229703439870036
S1_2693969,1,2693969,0,1,NA,NA
S1_2693995,1,2693995,0,1,NA,0.336880118824979
S1_2693998,1,2693998,0,1,NA,0.456492657376941
S1_2727652,1,2727652,0,1,NA,0.0793100828713023
S1_2730433,1,2730433,0,1,NA,0.280916106918539
S1_2730435,1,2730435,0,1,NA,-0.312852636124603
S1_2739890,1,2739890,0,1,NA,NA
S1_2740904,1,2740904,0,1,NA,0.158369550524924
S1_2740913,1,2740913,0,1,NA,NA
S1_2740924,1,2740924,0,1,NA,0.0284184575388622
S1_2740925,1,2740925,0,1,NA,-0.156494446553268
S1_2745817,1,2745817,0,1,NA,-0.209997206300557
S1_2746546,1,2746546,0,1,NA,NA
S1_2747010,1,2747010,0,1,NA,-0.181437577845998
S1_2748931,1,2748931,0,1,NA,NA
S1_2753170,1,2753170,0,1,NA,1.18182790971139
S1_2753256,1,2753256,0,1,NA,-0.287110195019238
S1_2753385,1,2753385,0,1,NA,0.0130107450729611
S1_2753437,1,2753437,0,1,NA,NA
S1_2753738,1,2753738,0,1,NA,-0.0755929732727054
S1_2754198,1,2754198,0,1,NA,0.565893995644473
S1_2754503,1,2754503,0,1,NA,0.123071646417401
S1_2784031,1,2784031,0,1,NA,-0.218388220201746
S1_2784065,1,2784065,0,1,NA,-0.066087736961407
S1_2784178,1,2784178,0,1,NA,-0.322027184204842
S1_2784215,1,2784215,0,1,NA,-0.0315737698276735
S1_2794443,1,2794443,0,1,NA,1.34557922705272
S1_2794651,1,2794651,0,1,NA,0.161574361313626
S1_2794670,1,2794670,0,1,NA,0.406677140255908
S1_2801538,1,2801538,0,1,NA,-0.531893716293837
S1_2801547,1,2801547,0,1,NA,-0.577481314025249
S1_2803636,1,2803636,0,1,NA,0.59751684135324
S1_2803659,1,2803659,0,1,NA,-0.598992002622253
S1_2803686,1,2803686,0,1,NA,1.01356167645588
S1_2842393,1,2842393,0,1,NA,0.428712197352922
S1_2842395,1,2842395,0,1,NA,0.743443774402863
S1_2842612,1,2842612,0,1,NA,0.273069023726123
S1_2858812,1,2858812,0,1,NA,NA
S1_2858936,1,2858936,0,1,NA,NA
S1_2872305,1,2872305,0,1,NA,-0.530144023247828
S1_2872340,1,2872340,0,1,NA,0.180052011717862
S1_2937746,1,2937746,0,1,NA,-0.575633266697878
S1_2940981,1,2940981,0,1,NA,0.504782713769828
S1_2942391,1,2942391,0,1,NA,-0.749235003324429
S1_2942412,1,2942412,0,1,NA,-0.264996311078562
S1_2942413,1,2942413,0,1,NA,-0.796293798500329
S1_2956835,1,2956835,0,1,NA,-0.352938918893869
S1_2957197,1,2957197,0,1,NA,0.606243873984056
S1_2957263,1,2957263,0,1,NA,NA
S1_2957286,1,2957286,0,1,NA,0.0878404027436659
S1_2957312,1,2957312,0,1,NA,-0.0117904695233051
S1_3000657,1,3000657,0,1,NA,-1.39954754114552
S1_3000668,1,3000668,0,1,NA,-1.30426700025049
S1_3000812,1,3000812,0,1,NA,-0.255994189247986
S1_3000850,1,3000850,0,1,NA,0.129595378601437
S1_3001062,1,3001062,0,1,NA,-0.211081446882076
S1_3010423,1,3010423,0,1,NA,0.802750910844566
S1_3022795,1,3022795,0,1,NA,-0.313171167935195
S1_3028475,1,3028475,0,1,NA,-0.639202404707191
S1_3028503,1,3028503,0,1,NA,-0.0449845195715852
S1_3029136,1,3029136,0,1,NA,-0.305823566468575
S1_3029139,1,3029139,0,1,NA,-0.539503604720267
S1_3029205,1,3029205,0,1,NA,-0.841395403329216
S1_3078487,1,3078487,0,1,NA,-1.17131254469638
S1_3078874,1,3078874,0,1,NA,0.668983980780297
S1_3079131,1,3079131,0,1,NA,-0.827325370915048
S1_3079287,1,3079287,0,1,NA,0.0530507417140029
S1_3079325,1,3079325,0,1,NA,0.283565865461071
S1_3079994,1,3079994,0,1,NA,0.773724893654332
S1_3080098,1,3080098,0,1,NA,0.643056522416742
