Marker,Chrom,Position,Ref,Alt,general,additive
S1_10638,1,10638,0,1,NA,0.0104617893555412
S1_128373,1,128373,0,1,NA,-0.0317182741323858
S1_222471,1,222471,0,1,NA,NA
S1_267769,1,267769,0,1,NA,0.190414828874179
S1_985248,1,985248,0,1,NA,0.0136715341433868
S1_1000282,1,1000282,0,1,NA,0.0316115065294147
S1_1001511,1,1001511,0,1,NA,NA
S1_1167803,1,1167803,0,1,NA,NA
S1_1195312,1,1195312,0,1,NA,-0.103701213666477
S1_1568364,1,1568364,0,1,NA,0.0328616986227726
S1_1665404,1,1665404,0,1,NA,-0.0101569061091604
S1_1665418,1,1665418,0,1,NA,-0.042635457622203
S1_1665430,1,1665430,0,1,NA,0.0408167953506409
S1_1686778,1,1686778,0,1,NA,0.0117171239907305
S1_1763337,1,1763337,0,1,NA,-0.0153137858874901
S1_1763359,1,1763359,0,1,NA,0.0535482439540313
S1_1763421,1,1763421,0,1,NA,0.0200970106801153
S1_1780412,1,1780412,0,1,NA,NA
S1_1787870,1,1787870,0,1,NA,-0.00295323436142958
S1_1787892,1,1787892,0,1,NA,-0.0138230763118443
S1_1792012,1,1792012,0,1,NA,0.0351334067668221
S1_1804228,1,1804228,0,1,NA,0.00202030988048918
S1_1804237,1,1804237,0,1,NA,-0.024677351693243
S1_1957407,1,1957407,0,1,NA,0.0361314775255224
S1_2032165,1,2032165,0,1,NA,0.000672347106537075
S1_2089532,1,2089532,0,1,NA,0.0847090208482131
S1_2089585,1,2089585,0,1,NA,0.0085193267039827
S1_2091448,1,2091448,0,1,NA,0.0758724161314088
S1_2091497,1,2091497,0,1,NA,-0.038619594292423
S1_2304094,1,2304094,0,1,NA,-0.00323378401951935
S1_2306736,1,2306736,0,1,NA,0.00608388386485093
S1_2306739,1,2306739,0,1,NA,0.0290516143614221
S1_2307001,1,2307001,0,1,NA,0.110140172685883
S1_2307011,1,2307011,0,1,NA,0.0561000878703179
S1_2307071,1,2307071,0,1,NA,0.0277211830655828
S1_2307256,1,2307256,0,1,NA,0.050395978780216
S1_2307287,1,2307287,0,1,NA,0.0370615501677198
S1_2307305,1,2307305,0,1,NA,NA
S1_2307776,1,2307776,0,1,NA,-0.1022530566791
S1_2336405,1,2336405,0,1,NA,0.0898484081271596
S1_2431751,1,2431751,0,1,NA,0.131826608022208
S1_2466885,1,2466885,0,1,NA,NA
S1_2467289,1,2467289,0,1,NA,0.0632644577301793
S1_2467298,1,2467298,0,1,NA,0.0779747095942067
S1_2467316,1,2467316,0,1,NA,0.0237313793288152
S1_2467319,1,2467319,0,1,NA,0.0832310524494924
S1_2467326,1,2467326,0,1,NA,0.175373551861271
S1_2467328,1,2467328,0,1,NA,NA
S1_2467352,1,2467352,0,1,NA,0.0670463417100429
S1_2468221,1,2468221,0,1,NA,-0.000659187924195948
S1_2469048,1,2469048,0,1,NA,0.181498874201973
S1_2469056,1,2469056,0,1,NA,-0.0427384951641585
S1_2469093,1,2469093,0,1,NA,-0.0145858880051186
S1_2470205,1,2470205,0,1,NA,0.0967006360414544
S1_2537494,1,2537494,0,1,NA,0.0515881392730879
S1_2540555,1,2540555,0,1,NA,NA
S1_2544068,1,2544068,0,1,NA,NA
S1_2657797,1,2657797,0,1,NA,-0.0128787320851611
S1_2685989,1,2685989,0,1,NA,0.234258950177346
S1_2686010,1,2686010,0,1,NA,-0.012454990397579
S1_2691832,1,2691832,0,1,NA,0.146457364302678
S1_2691875,1,2691875,0,1,NA,0.0497782500655584
S1_2691904,1,2691904,0,1,NA,0.114236408444641
S1_2693911,1,2693911,0,1,NA,0.0830656101822278
S1_2693968,1,2693968,0,1,NA,0.0304183580235939
S1_2693969,1,2693969,0,1,NA,NA
S1_2693995,1,2693995,0,1,NA,0.0423421687790144
S1_2693998,1,2693998,0,1,NA,0.10281328429277
S1_2727652,1,2727652,0,1,NA,-0.0459217160320309
S1_2730433,1,2730433,0,1,NA,0.0456040258761732
S1_2730435,1,2730435,0,1,NA,-0.0134082061573526
S1_2739890,1,2739890,0,1,NA,NA
S1_2740904,1,2740904,0,1,NA,0.00477159310413988
S1_2740913,1,2740913,0,1,NA,NA
S1_2740924,1,2740924,0,1,NA,-0.00783706408020635
S1_2740925,1,2740925,0,1,NA,-0.0102305229223791
S1_2745817,1,2745817,0,1,NA,-0.0402646552463679
S1_2746546,1,2746546,0,1,NA,NA
S1_2747010,1,2747010,0,1,NA,0.108554545756474
