"Trait","Model","Threshold","Marker","Chrom","Position","Ref","Alt","Score","Effect"
"Total.Sugar","general",3.43,"S1_198474650","1",198474650,0,1,3.62," NA"
"Total.Sugar","general",3.43,"S3_213626963","3",213626963,0,1,3.71," NA"
"Total.Sugar","general",3.43,"S3_215373714","3",215373714,0,1,3.81," NA"
"Total.Sugar","general",3.43,"S3_215475112","3",215475112,0,1,4.63," NA"
"Total.Sugar","general",3.43,"S3_216482957","3",216482957,0,1,3.91," NA"
"Total.Sugar","general",3.43,"S3_217237920","3",217237920,0,1,10.45," NA"
"Total.Sugar","general",3.43,"S3_217237944","3",217237944,0,1,9.67," NA"
"Total.Sugar","general",3.43,"S3_217572130","3",217572130,0,1,8.12," NA"
"Total.Sugar","general",3.43,"S3_217837353","3",217837353,0,1,4.26," NA"
"Total.Sugar","general",3.43,"S3_218903401","3",218903401,0,1,3.89," NA"
"Total.Sugar","general",3.43,"S3_219183201","3",219183201,0,1,6.42," NA"
"Total.Sugar","general",3.43,"S3_229741793","3",229741793,0,1,3.71," NA"
"Total.Sugar","general",3.43,"S4_35548886","4",35548886,0,1,4.3," NA"
"Total.Sugar","general",3.43,"S4_35548888","4",35548888,0,1,4.3," NA"
"Total.Sugar","general",3.43,"S4_35552105","4",35552105,0,1,4.46," NA"
"Total.Sugar","general",3.43,"S4_35984167","4",35984167,0,1,4.44," NA"
"Total.Sugar","general",3.43,"S4_36022493","4",36022493,0,1,4.79," NA"
"Total.Sugar","general",3.43,"S4_36027138","4",36027138,0,1,4.02," NA"
"Total.Sugar","general",3.43,"S4_36027144","4",36027144,0,1,3.99," NA"
"Total.Sugar","general",3.43,"S4_36027145","4",36027145,0,1,6.2," NA"
"Total.Sugar","general",3.43,"S4_36027159","4",36027159,0,1,3.99," NA"
"Total.Sugar","general",3.43,"S4_36027162","4",36027162,0,1,3.99," NA"
"Total.Sugar","general",3.43,"S4_37297448","4",37297448,0,1,8.6," NA"
"Total.Sugar","general",3.43,"S4_37324338","4",37324338,0,1,9.89," NA"
"Total.Sugar","general",3.43,"S4_37324361","4",37324361,0,1,9.46," NA"
"Total.Sugar","general",3.43,"S4_37324699","4",37324699,0,1,5.01," NA"
"Total.Sugar","general",3.43,"S4_37324723","4",37324723,0,1,4.69," NA"
"Total.Sugar","general",3.43,"S4_38028987","4",38028987,0,1,8.09," NA"
"Total.Sugar","general",3.43,"S4_38029207","4",38029207,0,1,5.4," NA"
"Total.Sugar","general",3.43,"S4_38029230","4",38029230,0,1,5.38," NA"
"Total.Sugar","general",3.43,"S4_38288923","4",38288923,0,1,4.64," NA"
"Total.Sugar","general",3.43,"S4_38296703","4",38296703,0,1,6.39," NA"
"Total.Sugar","general",3.43,"S4_38571530","4",38571530,0,1,5.87," NA"
"Total.Sugar","general",3.43,"S4_38724605","4",38724605,0,1,5.26," NA"
"Total.Sugar","general",3.43,"S4_39543066","4",39543066,0,1,14.15," NA"
"Total.Sugar","general",3.43,"S4_39544019","4",39544019,0,1,8.67," NA"
"Total.Sugar","general",3.43,"S4_39544121","4",39544121,0,1,9.46," NA"
"Total.Sugar","general",3.43,"S4_39544511","4",39544511,0,1,5.25," NA"
"Total.Sugar","general",3.43,"S4_39558331","4",39558331,0,1,9.78," NA"
"Total.Sugar","general",3.43,"S4_39599205","4",39599205,0,1,15.85," NA"
"Total.Sugar","general",3.43,"S4_39599913","4",39599913,0,1,11.71," NA"
"Total.Sugar","general",3.43,"S4_40348572","4",40348572,0,1,4.31," NA"
"Total.Sugar","general",3.43,"S4_40700576","4",40700576,0,1,12.92," NA"
"Total.Sugar","general",3.43,"S4_40700597","4",40700597,0,1,10.17," NA"
"Total.Sugar","general",3.43,"S4_41192934","4",41192934,0,1,18.2," NA"
"Total.Sugar","general",3.43,"S4_41837254","4",41837254,0,1,14.65," NA"
"Total.Sugar","general",3.43,"S4_41837298","4",41837298,0,1,12.15," NA"
"Total.Sugar","general",3.43,"S4_41839869","4",41839869,0,1,7.53," NA"
"Total.Sugar","general",3.43,"S4_42817250","4",42817250,0,1,12.48," NA"
"Total.Sugar","general",3.43,"S4_67652163","4",67652163,0,1,7.67," NA"
"Total.Sugar","general",3.43,"S4_133925873","4",133925873,0,1,4.84," NA"
"Total.Sugar","general",3.43,"S4_133925876","4",133925876,0,1,4.9," NA"
"Total.Sugar","general",3.43,"S4_133925884","4",133925884,0,1,4.9," NA"
