Marker,Chrom,Position,Ref,Alt,additive,general
S1_1000282,1,1000282,0,1,-0.210168702897668,NA
S1_2091448,1,2091448,0,1,-0.241561227529914,NA
S1_2307029,1,2307029,0,1,0.484296978041996,NA
S1_2307053,1,2307053,0,1,0.644233065069542,NA
S1_2307134,1,2307134,0,1,NA,NA
S1_2467316,1,2467316,0,1,-0.122531579826784,NA
S1_2469048,1,2469048,0,1,NA,NA
S1_2469056,1,2469056,0,1,NA,NA
S1_2469082,1,2469082,0,1,NA,NA
S1_2469093,1,2469093,0,1,-0.034370689206014,NA
S1_2544060,1,2544060,0,1,-0.531758403510622,NA
S1_2691904,1,2691904,0,1,-1.11058767211371,NA
S1_2691906,1,2691906,0,1,-1.11058767211371,NA
S1_2693670,1,2693670,0,1,-0.897721193383902,NA
S1_2693676,1,2693676,0,1,-0.10643622849669,NA
S1_2693869,1,2693869,0,1,0.321864794610732,NA
S1_2693911,1,2693911,0,1,-0.0258246259289336,NA
S1_2693995,1,2693995,0,1,0.295496807933056,NA
S1_2694004,1,2694004,0,1,-0.209772398841878,NA
S1_2740925,1,2740925,0,1,-0.458937877143754,NA
S1_2753153,1,2753153,0,1,-0.406058681691015,NA
S1_2753327,1,2753327,0,1,-0.598140295418176,NA
S1_2753420,1,2753420,0,1,-0.0506336954957618,NA
S1_2784213,1,2784213,0,1,-0.298841657631279,NA
S1_2784215,1,2784215,0,1,-0.221330512122201,NA
S1_2801538,1,2801538,0,1,0.228770389706142,NA
S1_2803659,1,2803659,0,1,0.278311403450502,NA
S1_2803686,1,2803686,0,1,-0.577992739958276,NA
S1_2937746,1,2937746,0,1,-0.100562632666943,NA
S1_3010418,1,3010418,0,1,-0.131021793403661,NA
S1_3010423,1,3010423,0,1,-0.131021793403661,NA
S1_3010424,1,3010424,0,1,-0.131021793403661,NA
S1_3010434,1,3010434,0,1,-0.131021793403661,NA
S1_3010439,1,3010439,0,1,-0.142594877154238,NA
S1_3010445,1,3010445,0,1,-0.153068099077544,NA
S1_3010447,1,3010447,0,1,-0.153068099077544,NA
S1_3029136,1,3029136,0,1,-0.41231270223274,NA
S1_3029139,1,3029139,0,1,-0.0243360001173443,NA
S1_3135749,1,3135749,0,1,0.240749024326973,NA
S1_3135753,1,3135753,0,1,-0.316570823934768,NA
S1_3197144,1,3197144,0,1,-0.745799941949585,NA
S1_3197156,1,3197156,0,1,-0.731878179028257,NA
S1_3197160,1,3197160,0,1,-0.65615385649857,NA
S1_3197164,1,3197164,0,1,-0.649554001860764,NA
S1_3269687,1,3269687,0,1,0.269589530361074,NA
S1_3279302,1,3279302,0,1,-0.209956536971305,NA
S1_3282170,1,3282170,0,1,-0.160995418194773,NA
S1_3405322,1,3405322,0,1,0.00807150820425306,NA
S1_3405346,1,3405346,0,1,0.00807150820425306,NA
S1_3405632,1,3405632,0,1,-0.0958308480299834,NA
S1_3650455,1,3650455,0,1,0.539853144073447,NA
S1_3703741,1,3703741,0,1,-0.0245238683265967,NA
S1_3703762,1,3703762,0,1,0.46122414545831,NA
S1_3739861,1,3739861,0,1,0.0756758925010104,NA
S1_4018295,1,4018295,0,1,0.428202406246712,NA
S1_4040233,1,4040233,0,1,-0.140022965384162,NA
S1_4040251,1,4040251,0,1,-0.312204239638021,NA
S1_4452378,1,4452378,0,1,0.468345892312655,NA
S1_4519154,1,4519154,0,1,-0.172496767595845,NA
S1_4548845,1,4548845,0,1,-0.0408939659109038,NA
S1_4979298,1,4979298,0,1,-0.0813734635278678,NA
S1_4994210,1,4994210,0,1,0.246766707099553,NA
S1_5006696,1,5006696,0,1,0.1872417596948,NA
S1_5091849,1,5091849,0,1,-0.0937050053072852,NA
S1_5745185,1,5745185,0,1,-0.455681015169162,NA
S1_5745195,1,5745195,0,1,NA,NA
S1_5745514,1,5745514,0,1,-0.523571583476304,NA
S1_5745520,1,5745520,0,1,-0.503871382665281,NA
S1_6220288,1,6220288,0,1,0.112722618227529,NA
S1_6220289,1,6220289,0,1,0.112722618227529,NA
S1_6234773,1,6234773,0,1,0.387902611958992,NA
S1_6234790,1,6234790,0,1,0.279598604697512,NA
S1_6234801,1,6234801,0,1,0.182586448800194,NA
S1_6425499,1,6425499,0,1,-0.00861540325551857,NA
S1_6425509,1,6425509,0,1,NA,NA
S1_6431158,1,6431158,0,1,NA,NA
S1_6431197,1,6431197,0,1,-1.42216304389117,NA
S1_6431227,1,6431227,0,1,-0.473220787614899,NA
S1_6433450,1,6433450,0,1,-0.275474442812616,NA
S1_6549984,1,6549984,0,1,0.295140190171885,NA
S1_6850821,1,6850821,0,1,NA,NA
S1_6921570,1,6921570,0,1,-0.57149814227904,NA
S1_6922850,1,6922850,0,1,-0.941236001562068,NA
S1_6923719,1,6923719,0,1,0.177481085408388,NA
S1_6923804,1,6923804,0,1,-0.0984895572110389,NA
S1_7079762,1,7079762,0,1,0.0877210228822207,NA
S1_7091205,1,7091205,0,1,0.265150885229588,NA
S1_7161470,1,7161470,0,1,0.202049867506503,NA
S1_7161473,1,7161473,0,1,0.202049867506503,NA
S1_7299841,1,7299841,0,1,-0.49488145477487,NA
S1_7355728,1,7355728,0,1,-0.392984901798997,NA
S1_7355735,1,7355735,0,1,0.0215381636705487,NA
S1_7355739,1,7355739,0,1,-0.405161419933336,NA
S1_7389879,1,7389879,0,1,0.253572815356407,NA
S1_7390282,1,7390282,0,1,-0.46063187601527,NA
S1_7390746,1,7390746,0,1,-0.386595562819011,NA
S1_7390758,1,7390758,0,1,-0.305069715016749,NA
S1_7390769,1,7390769,0,1,-0.20362540665203,NA
S1_7390776,1,7390776,0,1,-0.189107659961778,NA
S1_7391420,1,7391420,0,1,-0.0741506666646643,NA
S1_7397625,1,7397625,0,1,0.0234218610376331,NA
S1_8038925,1,8038925,0,1,-0.174857550705781,NA
S1_8271524,1,8271524,0,1,-0.157929268420105,NA
S1_8355740,1,8355740,0,1,-0.268716819759121,NA
