Marker,Chrom,Position,Ref,Alt,additive,general
S1_1000282,1,1000282,0,1,0.0197316727808676,NA
S1_2091448,1,2091448,0,1,0.0579141480292265,NA
S1_2307029,1,2307029,0,1,0.0260493878446866,NA
S1_2307053,1,2307053,0,1,-0.029391190429731,NA
S1_2307134,1,2307134,0,1,NA,NA
S1_2467316,1,2467316,0,1,0.0422705680016904,NA
S1_2469048,1,2469048,0,1,NA,NA
S1_2469056,1,2469056,0,1,NA,NA
S1_2469082,1,2469082,0,1,NA,NA
S1_2469093,1,2469093,0,1,-0.0381113287383776,NA
S1_2544060,1,2544060,0,1,0.025631480175754,NA
S1_2691904,1,2691904,0,1,0.0597897077637519,NA
S1_2691906,1,2691906,0,1,0.0597897077637519,NA
S1_2693670,1,2693670,0,1,0.278587251520992,NA
S1_2693676,1,2693676,0,1,0.0356339790858016,NA
S1_2693869,1,2693869,0,1,-0.0861833639523653,NA
S1_2693911,1,2693911,0,1,0.044265986771773,NA
S1_2693995,1,2693995,0,1,-0.0235184800094679,NA
S1_2694004,1,2694004,0,1,0.109923201252986,NA
S1_2740925,1,2740925,0,1,0.0026844928678571,NA
S1_2753153,1,2753153,0,1,-0.0733006962070881,NA
S1_2753327,1,2753327,0,1,-0.0423300825834829,NA
S1_2753420,1,2753420,0,1,-0.144248642101733,NA
S1_2784213,1,2784213,0,1,-0.0213265461317924,NA
S1_2784215,1,2784215,0,1,0.0175419414861615,NA
S1_2801538,1,2801538,0,1,0.0431920535253241,NA
S1_2803659,1,2803659,0,1,-0.0405578584440107,NA
S1_2803686,1,2803686,0,1,0.0235051965824944,NA
S1_2937746,1,2937746,0,1,-0.0734865770629938,NA
S1_3010418,1,3010418,0,1,0.0911010940082306,NA
S1_3010423,1,3010423,0,1,0.0911010940082306,NA
S1_3010424,1,3010424,0,1,0.0911010940082306,NA
S1_3010434,1,3010434,0,1,0.0911010940082306,NA
S1_3010439,1,3010439,0,1,-0.0482211797464913,NA
S1_3010445,1,3010445,0,1,0.0914580343926659,NA
S1_3010447,1,3010447,0,1,0.0914580343926659,NA
S1_3029136,1,3029136,0,1,0.050851531441765,NA
S1_3029139,1,3029139,0,1,-0.0437415685819715,NA
S1_3135749,1,3135749,0,1,-0.0490892230046089,NA
S1_3135753,1,3135753,0,1,-0.0916772764954707,NA
S1_3197144,1,3197144,0,1,0.156530461968199,NA
