Marker,Chrom,Position,Ref,Alt,general
S1_1000282,1,1000282,0,1,1.15795354633017
S1_2091448,1,2091448,0,1,1.63423641440987
S1_2307029,1,2307029,0,1,0.942814922840449
S1_2307053,1,2307053,0,1,0.375352231517966
S1_2307134,1,2307134,0,1,NA
S1_2467316,1,2467316,0,1,0.305617680237158
S1_2469048,1,2469048,0,1,NA
S1_2469056,1,2469056,0,1,NA
S1_2469082,1,2469082,0,1,NA
S1_2469093,1,2469093,0,1,0.131617750726422
S1_2544060,1,2544060,0,1,0.666682867848118
S1_2691904,1,2691904,0,1,0.293540927271748
S1_2691906,1,2691906,0,1,0.293540927271748
S1_2693670,1,2693670,0,1,0.899507401618297
S1_2693676,1,2693676,0,1,0.439011143656509
S1_2693869,1,2693869,0,1,1.20616633596806
S1_2693911,1,2693911,0,1,0.577528852704677
S1_2693995,1,2693995,0,1,0.103128757954025
S1_2694004,1,2694004,0,1,1.05575812718499
S1_2740925,1,2740925,0,1,0.177633390291197
S1_2753153,1,2753153,0,1,0.937145153252755
S1_2753327,1,2753327,0,1,0.117471397148843
S1_2753420,1,2753420,0,1,0.859536045977615
S1_2784213,1,2784213,0,1,0.375036029808891
S1_2784215,1,2784215,0,1,0.445862802488248
S1_2801538,1,2801538,0,1,1.36603009200146
S1_2803659,1,2803659,0,1,1.37905452529273
S1_2803686,1,2803686,0,1,0.400795697163894
S1_2937746,1,2937746,0,1,0.189209231268231
S1_3010418,1,3010418,0,1,0.465599437504133
S1_3010423,1,3010423,0,1,0.465599437504133
S1_3010424,1,3010424,0,1,0.465599437504133
S1_3010434,1,3010434,0,1,0.465599437504133
S1_3010439,1,3010439,0,1,0.845845705717432
S1_3010445,1,3010445,0,1,0.46473891893345
S1_3010447,1,3010447,0,1,0.46473891893345
S1_3029136,1,3029136,0,1,0.719889633575478
S1_3029139,1,3029139,0,1,1.11099721909608
S1_3135749,1,3135749,0,1,0.443400714525783
S1_3135753,1,3135753,0,1,0.847605304116081
S1_3197144,1,3197144,0,1,0.487421149455878
S1_3197156,1,3197156,0,1,0.243339956523157
S1_3197160,1,3197160,0,1,0.229537299703311
S1_3197164,1,3197164,0,1,0.553064653241714
S1_3269687,1,3269687,0,1,1.14078539869218
S1_3279302,1,3279302,0,1,0.299894229618373
S1_3282170,1,3282170,0,1,0.60499991548419
S1_3405322,1,3405322,0,1,0.429176197937324
S1_3405346,1,3405346,0,1,0.429176197937324
S1_3405632,1,3405632,0,1,1.2281087317846
S1_3650455,1,3650455,0,1,0.318927370020414
S1_3703741,1,3703741,0,1,0.705753044273555
S1_3703762,1,3703762,0,1,0.348538667702488
S1_3739861,1,3739861,0,1,0.80321727918342
S1_4018295,1,4018295,0,1,2.1738518259723
S1_4040233,1,4040233,0,1,0.177070777325117
S1_4040251,1,4040251,0,1,0.795615740012432
S1_4452378,1,4452378,0,1,0.128840841197751
S1_4519154,1,4519154,0,1,0.29105724336948
S1_4548845,1,4548845,0,1,0.224513182873104
S1_4979298,1,4979298,0,1,0.951053649816103
S1_4994210,1,4994210,0,1,0.315547127817872
S1_5006696,1,5006696,0,1,2.2056121656804
S1_5091849,1,5091849,0,1,1.50772296963242
S1_5745185,1,5745185,0,1,1.45041279472882
S1_5745195,1,5745195,0,1,NA
S1_5745514,1,5745514,0,1,1.19629440101392
S1_5745520,1,5745520,0,1,0.330351785461524
S1_6220288,1,6220288,0,1,0.557923958861135
S1_6220289,1,6220289,0,1,0.557923958861135
S1_6234773,1,6234773,0,1,0.82042225611339
S1_6234790,1,6234790,0,1,0.83135580828029
S1_6234801,1,6234801,0,1,0.554110444609991
S1_6425499,1,6425499,0,1,0.23778141555423
S1_6425509,1,6425509,0,1,NA
S1_6431158,1,6431158,0,1,NA
S1_6431197,1,6431197,0,1,0.204176801689139
S1_6431227,1,6431227,0,1,0.241811135673176
S1_6433450,1,6433450,0,1,0.0832929773114037
S1_6549984,1,6549984,0,1,0.358152269939052
S1_6850821,1,6850821,0,1,NA
S1_6921570,1,6921570,0,1,0.0141387481485185
S1_6922850,1,6922850,0,1,0.307578910468606
S1_6923719,1,6923719,0,1,0.73291060646778
S1_6923804,1,6923804,0,1,0.0229786468880581
S1_7079762,1,7079762,0,1,0.297297919438884
S1_7091205,1,7091205,0,1,0.640705983676657
S1_7161470,1,7161470,0,1,0.654491766389224
S1_7161473,1,7161473,0,1,0.654491766389224
S1_7299841,1,7299841,0,1,1.30577529990708
S1_7355728,1,7355728,0,1,0.79463983722168
S1_7355735,1,7355735,0,1,0.692033678241627
S1_7355739,1,7355739,0,1,0.399503949314492
S1_7389879,1,7389879,0,1,0.912727434887346
S1_7390282,1,7390282,0,1,0.0818964884846468
S1_7390746,1,7390746,0,1,0.659833244021145
S1_7390758,1,7390758,0,1,0.950609701341742
S1_7390769,1,7390769,0,1,0.317483360740291
S1_7390776,1,7390776,0,1,0.943766016304828
S1_7391420,1,7391420,0,1,0.0096135134647323
S1_7397625,1,7397625,0,1,0.246554293800117
S1_8038925,1,8038925,0,1,0.87564352438428
S1_8271524,1,8271524,0,1,0.145037770513811
S1_8355740,1,8355740,0,1,0.98939254805518
S1_8450316,1,8450316,0,1,0.292773800004906
S1_8538065,1,8538065,0,1,0.0399891243952685
S1_8538275,1,8538275,0,1,0.394148764633553
S1_8541287,1,8541287,0,1,NA
S1_8637215,1,8637215,0,1,NA
S1_8656801,1,8656801,0,1,0.556051055582635
S1_8656813,1,8656813,0,1,1.33628281920175
S1_9058898,1,9058898,0,1,0.763468523051503
S1_9058931,1,9058931,0,1,0.195513368604735
S1_9123511,1,9123511,0,1,1.42159420921687
S1_9216202,1,9216202,0,1,0.533491853598875
S1_9301439,1,9301439,0,1,0.533504626822248
S1_9396313,1,9396313,0,1,0.559603207449789
S1_9396331,1,9396331,0,1,0.576528657983101
S1_9437011,1,9437011,0,1,NA
S1_9526267,1,9526267,0,1,0.659625066787077
S1_9581609,1,9581609,0,1,0.179337760612245
S1_9581620,1,9581620,0,1,0.0911796472514491
S1_9956400,1,9956400,0,1,0.65699346780156
S1_9956412,1,9956412,0,1,0.844368201991875
S1_9957099,1,9957099,0,1,0.354093897607187
