Marker,Chrom,Position,Ref,Alt,additive,general
S1_1000282,1,1000282,0,1,0.0323715414642844,NA
S1_2091448,1,2091448,0,1,0.0775004827168821,NA
S1_2307029,1,2307029,0,1,0.0293176332336813,NA
S1_2307053,1,2307053,0,1,-0.0817129616604255,NA
S1_2307134,1,2307134,0,1,NA,NA
S1_2467316,1,2467316,0,1,0.0897307786717221,NA
S1_2469048,1,2469048,0,1,NA,NA
S1_2469056,1,2469056,0,1,NA,NA
S1_2469082,1,2469082,0,1,NA,NA
S1_2469093,1,2469093,0,1,0.0398563098594416,NA
S1_2544060,1,2544060,0,1,0.107874005224071,NA
S1_2691904,1,2691904,0,1,-0.0225026850433103,NA
S1_2691906,1,2691906,0,1,-0.0225026850433103,NA
S1_2693670,1,2693670,0,1,0.242008490486601,NA
S1_2693676,1,2693676,0,1,0.0475187863548285,NA
S1_2693869,1,2693869,0,1,-0.103606917121251,NA
S1_2693911,1,2693911,0,1,0.0544166106538455,NA
S1_2693995,1,2693995,0,1,-0.0155582990773553,NA
S1_2694004,1,2694004,0,1,0.10702111094078,NA
S1_2740925,1,2740925,0,1,-0.00348890290557335,NA
S1_2753153,1,2753153,0,1,-0.1003621558693,NA
S1_2753327,1,2753327,0,1,-0.018538608571923,NA
S1_2753420,1,2753420,0,1,-0.128284951775338,NA
S1_2784213,1,2784213,0,1,-0.0270233384238736,NA
S1_2784215,1,2784215,0,1,-7.97594639809773e-05,NA
S1_2801538,1,2801538,0,1,0.142471062643789,NA
S1_2803659,1,2803659,0,1,0.0092826741052594,NA
S1_2803686,1,2803686,0,1,-0.0392251061260875,NA
S1_2937746,1,2937746,0,1,0.0743436372530599,NA
S1_3010418,1,3010418,0,1,0.0557756499293376,NA
S1_3010423,1,3010423,0,1,0.0557756499293376,NA
S1_3010424,1,3010424,0,1,0.0557756499293376,NA
S1_3010434,1,3010434,0,1,0.0557756499293376,NA
S1_3010439,1,3010439,0,1,-0.0243295927036531,NA
S1_3010445,1,3010445,0,1,0.0559331212445215,NA
S1_3010447,1,3010447,0,1,0.0559331212445215,NA
S1_3029136,1,3029136,0,1,0.0458080367171672,NA
S1_3029139,1,3029139,0,1,0.025890608908302,NA
S1_3135749,1,3135749,0,1,-0.0508474235957337,NA
S1_3135753,1,3135753,0,1,-0.0407854289880234,NA
S1_3197144,1,3197144,0,1,0.100437269203487,NA
S1_3197156,1,3197156,0,1,-0.00243434532662157,NA
S1_3197160,1,3197160,0,1,-0.00304374855696565,NA
S1_3197164,1,3197164,0,1,-0.0123363269147632,NA
S1_3269687,1,3269687,0,1,-0.073089279098884,NA
S1_3279302,1,3279302,0,1,0.0646612105774143,NA
S1_3282170,1,3282170,0,1,0.0327924757560218,NA
S1_3405322,1,3405322,0,1,-0.0186755850994498,NA
S1_3405346,1,3405346,0,1,-0.0186755850994498,NA
S1_3405632,1,3405632,0,1,0.0157113970636722,NA
S1_3650455,1,3650455,0,1,-0.103500614142515,NA
S1_3703741,1,3703741,0,1,-0.0449778934370535,NA
S1_3703762,1,3703762,0,1,-0.145962054363896,NA
S1_3739861,1,3739861,0,1,-0.0330792078726461,NA
S1_4018295,1,4018295,0,1,-0.261852431810759,NA
S1_4040233,1,4040233,0,1,0.0174748768492599,NA
S1_4040251,1,4040251,0,1,0.0485114027540181,NA
S1_4452378,1,4452378,0,1,-0.0210656853848583,NA
S1_4519154,1,4519154,0,1,-0.00593300223272131,NA
S1_4548845,1,4548845,0,1,-0.0876724063882666,NA
S1_4979298,1,4979298,0,1,0.0329716547903818,NA
S1_4994210,1,4994210,0,1,-0.034149729516022,NA
S1_5006696,1,5006696,0,1,-0.117336976594025,NA
S1_5091849,1,5091849,0,1,0.122380155133648,NA
S1_5745185,1,5745185,0,1,0.0140111857632697,NA
S1_5745195,1,5745195,0,1,NA,NA
S1_5745514,1,5745514,0,1,0.0637909680103803,NA
S1_5745520,1,5745520,0,1,0.0489555193788203,NA
S1_6220288,1,6220288,0,1,0.0257121375867513,NA
S1_6220289,1,6220289,0,1,0.0257121375867513,NA
S1_6234773,1,6234773,0,1,-0.0701640212518679,NA
S1_6234790,1,6234790,0,1,-0.0281194421945852,NA
S1_6234801,1,6234801,0,1,0.0121866829249075,NA
S1_6425499,1,6425499,0,1,-0.0759895157463006,NA
S1_6425509,1,6425509,0,1,NA,NA
S1_6431158,1,6431158,0,1,NA,NA
S1_6431197,1,6431197,0,1,0.0978600643527781,NA
S1_6431227,1,6431227,0,1,-0.030384894310723,NA
S1_6433450,1,6433450,0,1,-0.054015739309806,NA
S1_6549984,1,6549984,0,1,-0.0186789482783833,NA
S1_6850821,1,6850821,0,1,NA,NA
S1_6921570,1,6921570,0,1,-0.0144670358711121,NA
S1_6922850,1,6922850,0,1,-0.172424706316528,NA
S1_6923719,1,6923719,0,1,0.0411396840928582,NA
S1_6923804,1,6923804,0,1,0.00697983907937427,NA
