Marker,Chrom,Position,Ref,Alt,additive,general
S1_1000282,1,1000282,0,1,0.278961167720335,0.235575160433535
S1_2091448,1,2091448,0,1,0.144311343627552,0.323470723126108
S1_2307029,1,2307029,0,1,0.297924810502936,0.494510169353655
S1_2307053,1,2307053,0,1,0.118982096967239,0.0345619189771557
S1_2307134,1,2307134,0,1,NA,NA
S1_2467316,1,2467316,0,1,0.52659310378412,0.430307773674432
S1_2469048,1,2469048,0,1,NA,NA
S1_2469056,1,2469056,0,1,NA,NA
S1_2469082,1,2469082,0,1,NA,NA
S1_2469093,1,2469093,0,1,0.203351767338336,0.100953953070774
S1_2544060,1,2544060,0,1,0.201596110772143,0.394223887007601
S1_2691904,1,2691904,0,1,0.642342235497935,0.337659754893728
S1_2691906,1,2691906,0,1,0.642342235497935,0.337659754893728
S1_2693670,1,2693670,0,1,1.53723909796103,1.11991012399253
S1_2693676,1,2693676,0,1,0.0680336389726207,0.0961764171970378
S1_2693869,1,2693869,0,1,0.499209956063807,0.266160888294583
S1_2693911,1,2693911,0,1,0.0631084471672819,0.251399219475211
S1_2693995,1,2693995,0,1,0.105066910205647,0.0523307569353489
S1_2694004,1,2694004,0,1,0.91787337125702,0.664767917174403
S1_2740925,1,2740925,0,1,0.0514470239415783,0.142123765431499
S1_2753153,1,2753153,0,1,0.277632010510172,0.848262395174003
S1_2753327,1,2753327,0,1,0.0328420956573246,0.181379860894393
S1_2753420,1,2753420,0,1,0.906250571395468,1.4206233520106
S1_2784213,1,2784213,0,1,0.108235611411466,0.243052537497962
S1_2784215,1,2784215,0,1,0.103564322968856,0.241988793175157
S1_2801538,1,2801538,0,1,0.0295755951835277,0.0166676136321739
S1_2803659,1,2803659,0,1,0.148023529450729,0.0302409197513254
S1_2803686,1,2803686,0,1,0.325307557413214,0.167082989954026
S1_2937746,1,2937746,0,1,0.12669417002673,0.285689974045693
S1_3010418,1,3010418,0,1,0.744761914882401,0.390337875250412
S1_3010423,1,3010423,0,1,0.744761914882401,0.390337875250412
S1_3010424,1,3010424,0,1,0.744761914882401,0.390337875250412
S1_3010434,1,3010434,0,1,0.744761914882401,0.390337875250412
S1_3010439,1,3010439,0,1,0.161071012129376,0.668689109407186
S1_3010445,1,3010445,0,1,0.703696427085748,0.360039039134036
