Marker,Chrom,Position,Ref,Alt,general,additive
S1_10638,1,10638,0,1,NA,0.0126101322503168
S1_128373,1,128373,0,1,NA,-0.00145155585603339
S1_222471,1,222471,0,1,NA,NA
S1_267769,1,267769,0,1,NA,-0.116317299859282
S1_985248,1,985248,0,1,NA,0.0307468712622033
S1_1000282,1,1000282,0,1,NA,0.0103711660504541
S1_1001511,1,1001511,0,1,NA,-0.00532464961086084
S1_1167803,1,1167803,0,1,NA,-0.00289663270446348
S1_1195312,1,1195312,0,1,NA,-0.00485575180420692
S1_1568364,1,1568364,0,1,NA,-0.0945092444162962
S1_1665404,1,1665404,0,1,NA,0.0120380818538776
S1_1665418,1,1665418,0,1,NA,-0.00289663270446348
S1_1665430,1,1665430,0,1,NA,-0.0114195728243678
S1_1686778,1,1686778,0,1,NA,0.0457897288476227
S1_1763337,1,1763337,0,1,NA,0.0228269468393575
S1_1763359,1,1763359,0,1,NA,-0.0447559323502529
S1_1763421,1,1763421,0,1,NA,0.0176915277444637
S1_1780412,1,1780412,0,1,NA,-0.00207821691758443
S1_1787870,1,1787870,0,1,NA,0.0744813203512559
S1_1787892,1,1787892,0,1,NA,0.00444241566313461
S1_1792012,1,1792012,0,1,NA,-0.0860802728435691
S1_1804228,1,1804228,0,1,NA,0.0259881482105109
S1_1804237,1,1804237,0,1,NA,0.0303033734268682
S1_1957407,1,1957407,0,1,NA,-0.0410792992145531
S1_2032165,1,2032165,0,1,NA,0.00273387592158316
S1_2089532,1,2089532,0,1,NA,0.000693181213959535
S1_2089585,1,2089585,0,1,NA,-0.046283778647918
S1_2091448,1,2091448,0,1,NA,-0.00772186872751914
S1_2091497,1,2091497,0,1,NA,-0.0450672071768956
S1_2304094,1,2304094,0,1,NA,-0.0371508880521465
S1_2306736,1,2306736,0,1,NA,-0.0618625113212041
S1_2306739,1,2306739,0,1,NA,-0.0618625113212041
S1_2307001,1,2307001,0,1,NA,-0.0511612458847839
S1_2307011,1,2307011,0,1,NA,-0.0614299610831446
S1_2307071,1,2307071,0,1,NA,-0.034485831213654
S1_2307256,1,2307256,0,1,NA,-0.0127073832236296
S1_2307287,1,2307287,0,1,NA,-0.0684320124644854
S1_2307305,1,2307305,0,1,NA,-0.0127073832236296
S1_2307776,1,2307776,0,1,NA,-0.0280200531446623
S1_2336405,1,2336405,0,1,NA,-0.0313965146483655
S1_2431751,1,2431751,0,1,NA,-0.0500542830874078
S1_2466885,1,2466885,0,1,NA,0.000423150958200372
S1_2467289,1,2467289,0,1,NA,0.0218130254304265
S1_2467298,1,2467298,0,1,NA,0.00484285283335725
S1_2467316,1,2467316,0,1,NA,0.000873273920459099
S1_2467319,1,2467319,0,1,NA,-0.0632425703149487
S1_2467326,1,2467326,0,1,NA,-0.00325755558313617
S1_2467328,1,2467328,0,1,NA,-0.0543919111029733
S1_2467352,1,2467352,0,1,NA,-0.0426379291958607
S1_2468221,1,2468221,0,1,NA,-0.013246070982059
S1_2469048,1,2469048,0,1,NA,-0.0277324017522194
S1_2469056,1,2469056,0,1,NA,-0.115815423911435
S1_2469093,1,2469093,0,1,NA,0.00359686173387912
S1_2470205,1,2470205,0,1,NA,0.0308128928968207
S1_2537494,1,2537494,0,1,NA,0.043300280138615
S1_2540555,1,2540555,0,1,NA,-0.19180029418666
S1_2544068,1,2544068,0,1,NA,-0.115815423911435
S1_2657797,1,2657797,0,1,NA,-0.0342021305004082
S1_2685989,1,2685989,0,1,NA,-0.0133469251469287
S1_2686010,1,2686010,0,1,NA,-0.101666453525656
S1_2691832,1,2691832,0,1,NA,0.0165863471625306
S1_2691875,1,2691875,0,1,NA,-0.00689631145160709
S1_2691904,1,2691904,0,1,NA,-0.00465071981123034
S1_2693911,1,2693911,0,1,NA,2.19654945633301e-05
S1_2693968,1,2693968,0,1,NA,-0.0183086214108867
S1_2693969,1,2693969,0,1,NA,-0.00143809801661066
S1_2693995,1,2693995,0,1,NA,-0.0464283765739079
S1_2693998,1,2693998,0,1,NA,-0.0102250431417429
S1_2727652,1,2727652,0,1,NA,-0.0091842480896228
S1_2730433,1,2730433,0,1,NA,-0.0675685232346938
S1_2730435,1,2730435,0,1,NA,0.0616139304776108
S1_2739890,1,2739890,0,1,NA,-0.00207821691758443
S1_2740904,1,2740904,0,1,NA,-0.00574610674506011
S1_2740913,1,2740913,0,1,NA,-0.0945874374712908
S1_2740924,1,2740924,0,1,NA,-0.00439797904633004
S1_2740925,1,2740925,0,1,NA,-0.0497644852983615
S1_2745817,1,2745817,0,1,NA,-0.0209624405498794
S1_2746546,1,2746546,0,1,NA,-0.081881950526094
S1_2747010,1,2747010,0,1,NA,0.00765750981541402
S1_2748931,1,2748931,0,1,NA,-0.0711060585060565
S1_2753170,1,2753170,0,1,NA,-0.0384652732562961
S1_2753256,1,2753256,0,1,NA,0.00117621959596157
S1_2753385,1,2753385,0,1,NA,0.0320716713767585
S1_2753437,1,2753437,0,1,NA,NA
S1_2753738,1,2753738,0,1,NA,-0.00770149500841026
S1_2754198,1,2754198,0,1,NA,-0.00207821691758443
S1_2754503,1,2754503,0,1,NA,0.00643876028882564
S1_2784031,1,2784031,0,1,NA,-0.0417482213514093
S1_2784065,1,2784065,0,1,NA,0.0102432984416218
S1_2784178,1,2784178,0,1,NA,-0.0368288800331276
S1_2784215,1,2784215,0,1,NA,-0.0244820911946102
S1_2794443,1,2794443,0,1,NA,-0.0711060585060565
S1_2794651,1,2794651,0,1,NA,-0.0125105818535395
S1_2794670,1,2794670,0,1,NA,-0.00790717889655765
S1_2801538,1,2801538,0,1,NA,0.0125163692799483
S1_2801547,1,2801547,0,1,NA,0.006002474634167
S1_2803636,1,2803636,0,1,NA,-0.0164671219793183
S1_2803659,1,2803659,0,1,NA,-0.0070970417796281
S1_2803686,1,2803686,0,1,NA,-0.0980848950835965
S1_2842393,1,2842393,0,1,NA,0.00647538371793827
S1_2842395,1,2842395,0,1,NA,0.0114552291097141
S1_2842612,1,2842612,0,1,NA,0.0443971960110048
S1_2858812,1,2858812,0,1,NA,0.0143189219620905
S1_2858936,1,2858936,0,1,NA,0.0269310205778067
S1_2872305,1,2872305,0,1,NA,0.0257231279909542
S1_2872340,1,2872340,0,1,NA,0.0397917168860428
S1_2937746,1,2937746,0,1,NA,0.0584297234170537
S1_2940981,1,2940981,0,1,NA,0.0120360776377618
S1_2942391,1,2942391,0,1,NA,0.00106369467573802
S1_2942412,1,2942412,0,1,NA,0.021260008162489
S1_2942413,1,2942413,0,1,NA,-0.0306528491270442
S1_2956835,1,2956835,0,1,NA,-0.0227120461709779
S1_2957197,1,2957197,0,1,NA,-0.00415976305081011
S1_2957263,1,2957263,0,1,NA,-0.0320631208984439
S1_2957286,1,2957286,0,1,NA,-0.0453740877380464
S1_2957312,1,2957312,0,1,NA,0.0114073750103016
S1_3000657,1,3000657,0,1,NA,-0.0848720405033535
S1_3000668,1,3000668,0,1,NA,-0.0848720405033535
S1_3000812,1,3000812,0,1,NA,0.0440006210981353
S1_3000850,1,3000850,0,1,NA,0.0455505804712085
S1_3001062,1,3001062,0,1,NA,0.00436535887898716
S1_3010423,1,3010423,0,1,NA,-0.00585828533708138
S1_3022795,1,3022795,0,1,NA,-0.000572702390931192
S1_3028475,1,3028475,0,1,NA,0.00855205621823115
S1_3028503,1,3028503,0,1,NA,0.0112237013344548
S1_3029136,1,3029136,0,1,NA,-0.0141261207745645
S1_3029139,1,3029139,0,1,NA,0.00915225697860837
S1_3029205,1,3029205,0,1,NA,0.00631826501893198
S1_3078487,1,3078487,0,1,NA,-0.0299508168814271
S1_3078874,1,3078874,0,1,NA,-0.0529606090104064
S1_3079131,1,3079131,0,1,NA,0.0506418260083395
S1_3079287,1,3079287,0,1,NA,0.0280439823132923
S1_3079325,1,3079325,0,1,NA,0.0247397251153688
S1_3079994,1,3079994,0,1,NA,0.0247960592000232
S1_3080098,1,3080098,0,1,NA,-0.00257145453704391
S1_3081447,1,3081447,0,1,NA,0.0152072696249706
S1_3081458,1,3081458,0,1,NA,0.013117377514066
S1_3081692,1,3081692,0,1,NA,0.029044158121761
S1_3131760,1,3131760,0,1,NA,-0.0185385982034262
S1_3136255,1,3136255,0,1,NA,-0.214128600686532
S1_3136329,1,3136329,0,1,NA,-0.0611515235481377
S1_3179303,1,3179303,0,1,NA,0.0251107468096525
S1_3179376,1,3179376,0,1,NA,0.0148250525276128
S1_3190637,1,3190637,0,1,NA,-0.0667342863273109
S1_3190712,1,3190712,0,1,NA,-0.0521872050062276
S1_3197122,1,3197122,0,1,NA,-0.00373558325626303
S1_3197144,1,3197144,0,1,NA,0.00631018885312954
S1_3197156,1,3197156,0,1,NA,0.0150926335538578
S1_3197160,1,3197160,0,1,NA,0.0368175111595043
S1_3197186,1,3197186,0,1,NA,0.0189098673981058
S1_3197225,1,3197225,0,1,NA,0.0297776033414348
S1_3197228,1,3197228,0,1,NA,-0.00289663270446348
S1_3197312,1,3197312,0,1,NA,-0.0127470605938478
S1_3199277,1,3199277,0,1,NA,-0.0156204954265068
S1_3199279,1,3199279,0,1,NA,0.0087856205685407
S1_3199533,1,3199533,0,1,NA,0.0118087119713569
S1_3200233,1,3200233,0,1,NA,0.0262826901529358
S1_3200355,1,3200355,0,1,NA,-3.07210904711523e-05
S1_3269837,1,3269837,0,1,NA,0.0115787507973936
S1_3274469,1,3274469,0,1,NA,0.0143188949276263
S1_3276118,1,3276118,0,1,NA,0.0838540402854921
S1_3279302,1,3279302,0,1,NA,0.0252614474796394
S1_3280221,1,3280221,0,1,NA,-0.0250387574742507
S1_3280248,1,3280248,0,1,NA,-0.0121395478241747
S1_3286633,1,3286633,0,1,NA,0.00554827292645235
S1_3354800,1,3354800,0,1,NA,-0.0460262880788084
S1_3355474,1,3355474,0,1,NA,-0.00597623798836894
S1_3356400,1,3356400,0,1,NA,0.0472432676905528
S1_3359309,1,3359309,0,1,NA,-0.0054145320575062
S1_3365546,1,3365546,0,1,NA,-0.00063714666315559
S1_3365613,1,3365613,0,1,NA,-0.0178441797306588
S1_3365984,1,3365984,0,1,NA,0.00568242753258851
S1_3404081,1,3404081,0,1,NA,-0.0218607856190627
S1_3405270,1,3405270,0,1,NA,0.00947149383884239
S1_3405286,1,3405286,0,1,NA,0.0119564011731087
S1_3408430,1,3408430,0,1,NA,-0.020424149873495
S1_3409249,1,3409249,0,1,NA,0.0179327042268341
S1_3409255,1,3409255,0,1,NA,0.013732981169509
S1_3409290,1,3409290,0,1,NA,-0.0532173612992522
S1_3409322,1,3409322,0,1,NA,-0.010297265387258
S1_3409331,1,3409331,0,1,NA,-0.00276291462539653
S1_3409375,1,3409375,0,1,NA,-0.0164463429008895
S1_3439048,1,3439048,0,1,NA,0.0470454982244329
S1_3440091,1,3440091,0,1,NA,0.0107448384541229
S1_3474893,1,3474893,0,1,NA,-0.00805511037620675
S1_3474940,1,3474940,0,1,NA,0.00875766597099115
S1_3647399,1,3647399,0,1,NA,0.0240635558483099
