Marker,Chrom,Position,Ref,Alt,diplo-general,diplo-additive
S1_10638,1,10638,0,1,NA,0.0544699499035834
S1_128373,1,128373,0,1,NA,-0.0111262067815716
S1_222471,1,222471,0,1,NA,NA
S1_267769,1,267769,0,1,NA,-0.182715542974506
S1_985248,1,985248,0,1,NA,0.0838355509242946
S1_1000282,1,1000282,0,1,NA,0.0528153547505919
S1_1001511,1,1001511,0,1,NA,0.109445623982283
S1_1167803,1,1167803,0,1,NA,0.13432693938865
S1_1195312,1,1195312,0,1,NA,-0.0425212872065677
S1_1568364,1,1568364,0,1,NA,-0.199301711780555
S1_1665404,1,1665404,0,1,NA,0.0624063634734782
S1_1665418,1,1665418,0,1,NA,0.13432693938865
S1_1665430,1,1665430,0,1,NA,0.00584619626246954
S1_1686778,1,1686778,0,1,NA,0.0860460909663576
S1_1763337,1,1763337,0,1,NA,0.00459290005669624
S1_1763359,1,1763359,0,1,NA,-0.020790773234892
S1_1763421,1,1763421,0,1,NA,0.0460857081141678
S1_1780412,1,1780412,0,1,NA,0.114774638387169
S1_1787870,1,1787870,0,1,NA,0.109609248057339
S1_1787892,1,1787892,0,1,NA,-0.00823736259483358
S1_1792012,1,1792012,0,1,NA,-0.208826558810898
S1_1804228,1,1804228,0,1,NA,0.0625584470986432
S1_1804237,1,1804237,0,1,NA,0.0499626209283679
S1_1957407,1,1957407,0,1,NA,-0.0864565200978996
S1_2032165,1,2032165,0,1,NA,0.00305656962424226
S1_2089532,1,2089532,0,1,NA,-0.0186447780231902
S1_2089585,1,2089585,0,1,NA,-0.126030801719161
S1_2091448,1,2091448,0,1,NA,-0.0399701248302053
S1_2091497,1,2091497,0,1,NA,-0.0324235921374528
S1_2304094,1,2304094,0,1,NA,-0.150762105483693
S1_2306736,1,2306736,0,1,NA,-0.111053880400803
S1_2306739,1,2306739,0,1,NA,-0.111053880400803
S1_2307001,1,2307001,0,1,NA,-0.0695461329948612
S1_2307011,1,2307011,0,1,NA,-0.0761255320614068
S1_2307071,1,2307071,0,1,NA,-0.0550441692932945
S1_2307256,1,2307256,0,1,NA,-0.232159709413837
S1_2307287,1,2307287,0,1,NA,-0.281342633016651
S1_2307305,1,2307305,0,1,NA,-0.232159709413837
S1_2307776,1,2307776,0,1,NA,-0.0167610415088544
S1_2336405,1,2336405,0,1,NA,-0.0426995149617362
S1_2431751,1,2431751,0,1,NA,-0.165328272308084
S1_2466885,1,2466885,0,1,NA,0.177275951797819
S1_2467289,1,2467289,0,1,NA,0.0337737927232197
S1_2467298,1,2467298,0,1,NA,-0.00978693904111664
S1_2467316,1,2467316,0,1,NA,0.0206958751449061
S1_2467319,1,2467319,0,1,NA,-0.175141636486971
S1_2467326,1,2467326,0,1,NA,-0.0254709172802874
S1_2467328,1,2467328,0,1,NA,-0.128927415982303
S1_2467352,1,2467352,0,1,NA,-0.136395470864718
S1_2468221,1,2468221,0,1,NA,-0.0479585864192895
S1_2469048,1,2469048,0,1,NA,-0.0391049923240091
S1_2469056,1,2469056,0,1,NA,-0.320878328925997
S1_2469093,1,2469093,0,1,NA,-0.032723890873702
S1_2470205,1,2470205,0,1,NA,0.0406530297730456
S1_2537494,1,2537494,0,1,NA,0.0675948457602762
S1_2540555,1,2540555,0,1,NA,-0.326446802255294
S1_2544068,1,2544068,0,1,NA,-0.320878328925997
S1_2657797,1,2657797,0,1,NA,-0.0426710963139094
S1_2685989,1,2685989,0,1,NA,-0.00330514361233369
S1_2686010,1,2686010,0,1,NA,-0.189830436480005
S1_2691832,1,2691832,0,1,NA,0.0507990986987746
S1_2691875,1,2691875,0,1,NA,-0.0219892052235286
S1_2691904,1,2691904,0,1,NA,0.0296172397894511
S1_2693911,1,2693911,0,1,NA,-0.0140199052368288
S1_2693968,1,2693968,0,1,NA,-0.07208374240901
S1_2693969,1,2693969,0,1,NA,-0.00239346203884519
S1_2693995,1,2693995,0,1,NA,-0.0796028769102683
S1_2693998,1,2693998,0,1,NA,-0.02664956408842
S1_2727652,1,2727652,0,1,NA,0.0322374539103638
S1_2730433,1,2730433,0,1,NA,-0.100904361646138
S1_2730435,1,2730435,0,1,NA,0.0460201956046117
S1_2739890,1,2739890,0,1,NA,0.114774638387169
S1_2740904,1,2740904,0,1,NA,-0.0445416564874631
S1_2740913,1,2740913,0,1,NA,-0.248219471577237
S1_2740924,1,2740924,0,1,NA,-0.0467283751383952
S1_2740925,1,2740925,0,1,NA,-0.098898253598509
S1_2745817,1,2745817,0,1,NA,-0.0682339814605251
S1_2746546,1,2746546,0,1,NA,-0.240078333758147
S1_2747010,1,2747010,0,1,NA,-0.000331602853571884
S1_2748931,1,2748931,0,1,NA,-0.0496681867936618
S1_2753170,1,2753170,0,1,NA,0.00604676314112223
S1_2753256,1,2753256,0,1,NA,-0.0284674217504359
S1_2753385,1,2753385,0,1,NA,0.0929324246479241
S1_2753437,1,2753437,0,1,NA,NA
S1_2753738,1,2753738,0,1,NA,-0.0189638013281908
S1_2754198,1,2754198,0,1,NA,0.114774638387169
S1_2754503,1,2754503,0,1,NA,-0.00042633663895978
S1_2784031,1,2784031,0,1,NA,-0.0681830474619273
S1_2784065,1,2784065,0,1,NA,0.0360507415910164
S1_2784178,1,2784178,0,1,NA,-0.136550460438066
S1_2784215,1,2784215,0,1,NA,-0.12398765907773
S1_2794443,1,2794443,0,1,NA,-0.0496681867936618
S1_2794651,1,2794651,0,1,NA,0.0291723557723873
S1_2794670,1,2794670,0,1,NA,0.0343487611911266
S1_2801538,1,2801538,0,1,NA,-0.00209843816800382
S1_2801547,1,2801547,0,1,NA,-0.0041592351637198
S1_2803636,1,2803636,0,1,NA,-0.00841987259377274
S1_2803659,1,2803659,0,1,NA,-0.0148445822085223
S1_2803686,1,2803686,0,1,NA,-0.169099446426209
S1_2842393,1,2842393,0,1,NA,0.0141540108868252
S1_2842395,1,2842395,0,1,NA,0.0496048058519005
S1_2842612,1,2842612,0,1,NA,0.0836814224373717
S1_2858812,1,2858812,0,1,NA,-0.0404492308885389
S1_2858936,1,2858936,0,1,NA,-0.0259281791094601
S1_2872305,1,2872305,0,1,NA,0.0565119628010122
S1_2872340,1,2872340,0,1,NA,0.0767852377611535
S1_2937746,1,2937746,0,1,NA,0.060696079427529
S1_2940981,1,2940981,0,1,NA,0.0663047994099274
S1_2942391,1,2942391,0,1,NA,0.000598294278374597
S1_2942412,1,2942412,0,1,NA,0.0521128896301219
S1_2942413,1,2942413,0,1,NA,-0.0441659700368607
S1_2956835,1,2956835,0,1,NA,0.0547144645053163
S1_2957197,1,2957197,0,1,NA,0.0247007725452667
S1_2957263,1,2957263,0,1,NA,-0.101620233911647
S1_2957286,1,2957286,0,1,NA,-0.0469604032610444
S1_2957312,1,2957312,0,1,NA,0.0283139793215605
S1_3000657,1,3000657,0,1,NA,-0.195924372501731
S1_3000668,1,3000668,0,1,NA,-0.195924372501731
S1_3000812,1,3000812,0,1,NA,0.0295328047774159
S1_3000850,1,3000850,0,1,NA,0.00266037089167926
S1_3001062,1,3001062,0,1,NA,-0.0417214795775519
S1_3010423,1,3010423,0,1,NA,0.00944699101153664
S1_3022795,1,3022795,0,1,NA,-0.00283379014875702
S1_3028475,1,3028475,0,1,NA,0.00455252425683381
S1_3028503,1,3028503,0,1,NA,0.0680457793713322
S1_3029136,1,3029136,0,1,NA,-0.055946313337628
S1_3029139,1,3029139,0,1,NA,-0.0238509959398134
S1_3029205,1,3029205,0,1,NA,0.00353297190862465
S1_3078487,1,3078487,0,1,NA,-0.0459537515855672
S1_3078874,1,3078874,0,1,NA,-0.136186716343429
S1_3079131,1,3079131,0,1,NA,0.122969888249183
S1_3079287,1,3079287,0,1,NA,0.0760550893890638
S1_3079325,1,3079325,0,1,NA,0.0700494272423789
S1_3079994,1,3079994,0,1,NA,0.0684549249325468
S1_3080098,1,3080098,0,1,NA,-0.00878500157200764
S1_3081447,1,3081447,0,1,NA,0.10316303427845
S1_3081458,1,3081458,0,1,NA,0.101727665420734
S1_3081692,1,3081692,0,1,NA,0.0993769418389746
S1_3131760,1,3131760,0,1,NA,-0.0572676064863878
S1_3136255,1,3136255,0,1,NA,-0.49428446078026
S1_3136329,1,3136329,0,1,NA,-0.0741975858333203
S1_3179303,1,3179303,0,1,NA,0.0347664620208593
S1_3179376,1,3179376,0,1,NA,0.00553191044252139
S1_3190637,1,3190637,0,1,NA,-0.0509369233588681
S1_3190712,1,3190712,0,1,NA,-0.295047318905397
S1_3197122,1,3197122,0,1,NA,-0.00837344980454678
S1_3197144,1,3197144,0,1,NA,0.0103971082455454
S1_3197156,1,3197156,0,1,NA,0.0232148359222541
S1_3197160,1,3197160,0,1,NA,0.0628740301276586
S1_3197186,1,3197186,0,1,NA,0.0601527463478845
S1_3197225,1,3197225,0,1,NA,0.0315376621759694
S1_3197228,1,3197228,0,1,NA,0.13432693938865
S1_3197312,1,3197312,0,1,NA,-0.011560205201808
S1_3199277,1,3199277,0,1,NA,-0.166871930052849
S1_3199279,1,3199279,0,1,NA,-0.00591173468939778
S1_3199533,1,3199533,0,1,NA,0.0502223878493509
S1_3200233,1,3200233,0,1,NA,0.0463331015460055
S1_3200355,1,3200355,0,1,NA,0.00571238488327885
S1_3269837,1,3269837,0,1,NA,0.0340955567929647
S1_3274469,1,3274469,0,1,NA,0.0977685103896298
S1_3276118,1,3276118,0,1,NA,0.144425453755214
S1_3279302,1,3279302,0,1,NA,0.0616235399501502
S1_3280221,1,3280221,0,1,NA,-0.107060335877709
S1_3280248,1,3280248,0,1,NA,-0.0522492904704843
S1_3286633,1,3286633,0,1,NA,0.0223330884696851
S1_3354800,1,3354800,0,1,NA,-0.188020870586998
S1_3355474,1,3355474,0,1,NA,-0.135746725892951
S1_3356400,1,3356400,0,1,NA,0.150634417109024
S1_3359309,1,3359309,0,1,NA,0.0192464417837608
S1_3365546,1,3365546,0,1,NA,-0.0934209782677518
S1_3365613,1,3365613,0,1,NA,-0.0658407104570219
S1_3365984,1,3365984,0,1,NA,-0.110816629421356
S1_3404081,1,3404081,0,1,NA,-0.0372700758993457
S1_3405270,1,3405270,0,1,NA,0.0389759221204551
S1_3405286,1,3405286,0,1,NA,0.019537791639952
S1_3408430,1,3408430,0,1,NA,-0.0908964457815559
S1_3409249,1,3409249,0,1,NA,0.129884060488257
S1_3409255,1,3409255,0,1,NA,0.0120423069384629
S1_3409290,1,3409290,0,1,NA,-0.202522499727474
S1_3409322,1,3409322,0,1,NA,0.0192033708137865
S1_3409331,1,3409331,0,1,NA,0.0289262209669479
S1_3409375,1,3409375,0,1,NA,-0.17129117209761
S1_3439048,1,3439048,0,1,NA,0.0488532188721562
S1_3440091,1,3440091,0,1,NA,0.0267852191439588
S1_3474893,1,3474893,0,1,NA,-0.055188926881389
S1_3474940,1,3474940,0,1,NA,-0.0378156012380042
S1_3647399,1,3647399,0,1,NA,-0.105583524520185
S1_3649734,1,3649734,0,1,NA,0.0973569658544156
S1_3649844,1,3649844,0,1,NA,0.0380033649755026
S1_3650405,1,3650405,0,1,NA,-0.0378558303138878
S1_3650848,1,3650848,0,1,NA,0.10129417006069
S1_3650875,1,3650875,0,1,NA,0.121160691803961
S1_3665201,1,3665201,0,1,NA,-0.0528503377315085
S1_3665219,1,3665219,0,1,NA,0.100280724534036
S1_3701096,1,3701096,0,1,NA,-0.0820121959128765
S1_3702509,1,3702509,0,1,NA,0.0494189397157319
S1_3702520,1,3702520,0,1,NA,-0.0239645698613148
S1_3703088,1,3703088,0,1,NA,0.114833453514103
S1_3703141,1,3703141,0,1,NA,0.0718904919735914
S1_3703225,1,3703225,0,1,NA,0.0445651244170512
S1_3703561,1,3703561,0,1,NA,0.0963759638486378
S1_3703701,1,3703701,0,1,NA,0.00431957308909193
S1_3703855,1,3703855,0,1,NA,-0.0665349385903314
S1_3703856,1,3703856,0,1,NA,0.0625015188607247
S1_3703891,1,3703891,0,1,NA,-0.151780868678024
S1_3703921,1,3703921,0,1,NA,-0.151780868678024
S1_3703960,1,3703960,0,1,NA,0.108516581696866
S1_3703996,1,3703996,0,1,NA,0.0648181890346929
S1_3704064,1,3704064,0,1,NA,0.058983711199372
S1_3704074,1,3704074,0,1,NA,0.0218724309496431
S1_3715240,1,3715240,0,1,NA,-0.082761654485324
S1_3715269,1,3715269,0,1,NA,-0.232622397862035
S1_3731400,1,3731400,0,1,NA,0.0374884912916569
S1_3731407,1,3731407,0,1,NA,0.0374884912916569
S1_3734685,1,3734685,0,1,NA,0.0334942057494391
S1_3734702,1,3734702,0,1,NA,0.00699818160478491
S1_3734910,1,3734910,0,1,NA,-0.0544106841195846
S1_3736125,1,3736125,0,1,NA,-0.213557579962142
S1_3736132,1,3736132,0,1,NA,-0.205418560706997
S1_3736785,1,3736785,0,1,NA,-0.0150927576615543
S1_3739508,1,3739508,0,1,NA,0.231055803241829
S1_3739658,1,3739658,0,1,NA,0.139202467012373
S1_3739861,1,3739861,0,1,NA,-0.0105198892704516
S1_3739939,1,3739939,0,1,NA,NA
S1_3739948,1,3739948,0,1,NA,NA
S1_3741759,1,3741759,0,1,NA,0.0726807711809374
S1_3742006,1,3742006,0,1,NA,0.0180519095719777
S1_3742010,1,3742010,0,1,NA,0.022230162729247
S1_3742398,1,3742398,0,1,NA,0.0742056950778286
S1_3878392,1,3878392,0,1,NA,0.0586909307514817
S1_3878526,1,3878526,0,1,NA,-0.111363768134698
S1_3886280,1,3886280,0,1,NA,0.0721489036901528
S1_3887491,1,3887491,0,1,NA,-0.0750244286265927
S1_3889306,1,3889306,0,1,NA,0.00557444864612123
S1_3889317,1,3889317,0,1,NA,0.0357566987770262
S1_4018295,1,4018295,0,1,NA,-0.340242010812303
S1_4018470,1,4018470,0,1,NA,-0.0572429270916773
S1_4018519,1,4018519,0,1,NA,-0.281488305649918
S1_4022585,1,4022585,0,1,NA,-0.0413087929468775
S1_4040233,1,4040233,0,1,NA,-0.0818749556189046
S1_4040251,1,4040251,0,1,NA,-0.0596998236779266
S1_4040654,1,4040654,0,1,NA,-0.0526141809956813
S1_4041107,1,4041107,0,1,NA,-0.0235100902524343
S1_4042967,1,4042967,0,1,NA,0.0949321404831701
S1_4042975,1,4042975,0,1,NA,-0.0658624708871784
S1_4051463,1,4051463,0,1,NA,0.0791272678986736
S1_4054150,1,4054150,0,1,NA,0.0405785597453376
S1_4055044,1,4055044,0,1,NA,-0.100110387985683
S1_4055146,1,4055146,0,1,NA,-0.00997592616261495
S1_4055200,1,4055200,0,1,NA,-0.297037262958705
S1_4055218,1,4055218,0,1,NA,-0.183165118982184
S1_4055521,1,4055521,0,1,NA,-0.101332891784453
S1_4056057,1,4056057,0,1,NA,0.0949321404831701
S1_4056065,1,4056065,0,1,NA,0.0238402558782448
S1_4056115,1,4056115,0,1,NA,0.0411436244778286
S1_4056657,1,4056657,0,1,NA,-0.0145225175493164
S1_4057454,1,4057454,0,1,NA,0.118480370278422
S1_4057959,1,4057959,0,1,NA,-0.0412570245103979
S1_4069263,1,4069263,0,1,NA,0.00474457165133219
S1_4150350,1,4150350,0,1,NA,-0.00285349335976367
S1_4150361,1,4150361,0,1,NA,-0.0606655430091518
S1_4163141,1,4163141,0,1,NA,-0.0429967344024331
S1_4173199,1,4173199,0,1,NA,0.107006176653166
S1_4187089,1,4187089,0,1,NA,-0.155809676404653
S1_4187467,1,4187467,0,1,NA,0.00226090841327224
S1_4241885,1,4241885,0,1,NA,-0.104484502438489
S1_4241933,1,4241933,0,1,NA,0.0128216320938636
S1_4242027,1,4242027,0,1,NA,-0.0600468433681647
S1_4242035,1,4242035,0,1,NA,-0.0926135681818377
S1_4242047,1,4242047,0,1,NA,-0.0390556584304338
S1_4246336,1,4246336,0,1,NA,-0.0233789032244063
S1_4246347,1,4246347,0,1,NA,-0.0838727020552857
S1_4251025,1,4251025,0,1,NA,0.0340991241782582
S1_4292194,1,4292194,0,1,NA,-0.0166751643131115
S1_4306819,1,4306819,0,1,NA,0.0757704200907737
S1_4309213,1,4309213,0,1,NA,-0.10201070609975
S1_4356991,1,4356991,0,1,NA,-0.0301840319548654
S1_4358623,1,4358623,0,1,NA,0.0911645579105857
S1_4358624,1,4358624,0,1,NA,-0.0397406711511628
S1_4445279,1,4445279,0,1,NA,-0.0416053268864651
S1_4446759,1,4446759,0,1,NA,0.0598190402510857
S1_4452378,1,4452378,0,1,NA,0.0902055964652924
S1_4453412,1,4453412,0,1,NA,0.126949010533321
S1_4453427,1,4453427,0,1,NA,-0.0195332199994827
S1_4453485,1,4453485,0,1,NA,-0.554731398546359
S1_4511714,1,4511714,0,1,NA,0.0298187606445204
S1_4511716,1,4511716,0,1,NA,0.0515044456125563
S1_4511722,1,4511722,0,1,NA,0.0298187606445204
S1_4512268,1,4512268,0,1,NA,0.0537151783471755
S1_4512303,1,4512303,0,1,NA,0.0810729515227551
S1_4512433,1,4512433,0,1,NA,-0.0330120995289308
S1_4512689,1,4512689,0,1,NA,0.0471180523164266
S1_4512876,1,4512876,0,1,NA,0.013068801567006
S1_4512877,1,4512877,0,1,NA,-0.109714195372504
S1_4512975,1,4512975,0,1,NA,-0.0341432521674951
S1_4519154,1,4519154,0,1,NA,-0.0625408411153076
S1_4519305,1,4519305,0,1,NA,-0.000770256999241669
S1_4519320,1,4519320,0,1,NA,-0.0150369479932973
S1_4544628,1,4544628,0,1,NA,0.135020531294276
