"Trait","Model","Threshold","Marker","Chrom","Position","Ref","Alt","Score","Effect"
"Starch.BLUP","general",3.86,"S1_15995473","1",15995473,0,1,4.63,NA
"Starch.BLUP","general",3.86,"S2_31594329","2",31594329,0,1,4.51,NA
"Starch.BLUP","general",3.86,"S4_46936174","4",46936174,0,1,5.62,NA
"Starch.BLUP","general",3.86,"S4_53080747","4",53080747,0,1,5.06,NA
"Starch.BLUP","general",3.86,"S4_55083955","4",55083955,0,1,3.91,NA
"Starch.BLUP","general",3.86,"S4_67144530","4",67144530,0,1,10.31,NA
"Starch.BLUP","general",3.86,"S4_71056989","4",71056989,0,1,5.76,NA
"Starch.BLUP","general",3.86,"S4_74639797","4",74639797,0,1,4.5,NA
"Starch.BLUP","general",3.86,"S4_76277210","4",76277210,0,1,4.95,NA
"Starch.BLUP","general",3.86,"S4_77982471","4",77982471,0,1,5.79,NA
"Starch.BLUP","general",3.86,"S4_136967842","4",136967842,0,1,4.67,NA
"Starch.BLUP","general",3.86,"S4_159909473","4",159909473,0,1,4.62,NA
"Starch.BLUP","general",3.86,"S4_163994489","4",163994489,0,1,5.15,NA
"Starch.BLUP","general",3.86,"S5_5924352","5",5924352,0,1,4.3,NA
"Starch.BLUP","general",3.86,"S5_212522433","5",212522433,0,1,4.58,NA
"Starch.BLUP","general",3.86,"S7_168082074","7",168082074,0,1,4.05,NA
"Starch.BLUP","general",3.86,"S9_56125552","9",56125552,0,1,4.45,NA
"Starch.BLUP","general",3.86,"S9_137344568","9",137344568,0,1,4.08,NA
"Starch.BLUP","general",3.86,"S9_147335912","9",147335912,0,1,3.96,NA
"Starch.BLUP","general",3.86,"S9_152055253","9",152055253,0,1,4.77,NA
