Marker,Chrom,Position,Ref,Alt,general,additive
S1_10638,1,10638,0,1,NA,-0.146939253530434
S1_128373,1,128373,0,1,NA,0.272368845056834
S1_222471,1,222471,0,1,NA,NA
S1_267769,1,267769,0,1,NA,1.25279846209111
S1_985248,1,985248,0,1,NA,-0.215193956812571
S1_1000282,1,1000282,0,1,NA,-0.379126622761778
S1_1001511,1,1001511,0,1,NA,-0.648481184569809
S1_1167803,1,1167803,0,1,NA,-1.40157747716255
S1_1195312,1,1195312,0,1,NA,0.21436945981168
S1_1568364,1,1568364,0,1,NA,1.34945623272084
S1_1665404,1,1665404,0,1,NA,-0.474497643807486
S1_1665418,1,1665418,0,1,NA,-1.40157747716255
S1_1665430,1,1665430,0,1,NA,0.46050990770894
S1_1686778,1,1686778,0,1,NA,-0.548393475008232
S1_1763337,1,1763337,0,1,NA,0.597819304951377
S1_1763359,1,1763359,0,1,NA,0.793283586951595
S1_1763421,1,1763421,0,1,NA,-0.249872991914569
S1_1780412,1,1780412,0,1,NA,-0.713943539081042
S1_1787870,1,1787870,0,1,NA,-0.433030283584638
S1_1787892,1,1787892,0,1,NA,0.267127572346473
S1_1792012,1,1792012,0,1,NA,1.41406184235286
S1_1804228,1,1804228,0,1,NA,-0.392571891503274
S1_1804237,1,1804237,0,1,NA,-0.30923748873213
S1_1957407,1,1957407,0,1,NA,0.758440147385327
S1_2032165,1,2032165,0,1,NA,0.46739164173162
S1_2089532,1,2089532,0,1,NA,-0.255037194048458
S1_2089585,1,2089585,0,1,NA,-0.0499376910517515
S1_2091448,1,2091448,0,1,NA,-0.440496298274273
S1_2091497,1,2091497,0,1,NA,-0.396554125326573
S1_2304094,1,2304094,0,1,NA,0.177903264665107
S1_2306736,1,2306736,0,1,NA,0.983667995200173
S1_2306739,1,2306739,0,1,NA,0.983667995200173
S1_2307001,1,2307001,0,1,NA,0.381736970484487
S1_2307011,1,2307011,0,1,NA,0.734388954039132
S1_2307071,1,2307071,0,1,NA,-0.0141607628653947
S1_2307256,1,2307256,0,1,NA,-0.214337601882753
S1_2307287,1,2307287,0,1,NA,2.1187365896974
S1_2307305,1,2307305,0,1,NA,-0.214337601882753
S1_2307776,1,2307776,0,1,NA,0.049655672627353
S1_2336405,1,2336405,0,1,NA,-0.264446294678876
S1_2431751,1,2431751,0,1,NA,0.386383114015684
S1_2466885,1,2466885,0,1,NA,-0.57949225833525
S1_2467289,1,2467289,0,1,NA,-0.085385735293997
