SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S3_219183201,3,219183201,2.54710028250168e-06,0.0889967637540453,309,NA,NA,0.0305957685934102,NA
S8_111625413,8,111625413,2.97184388047626e-05,0.119741100323625,309,NA,NA,0.178488943461404,NA
S9_9001688,9,9001688,0.000277574142817938,0.119741100323625,309,NA,NA,0.935995354005359,NA
S9_7615114,9,7615114,0.000334630711263249,0.0598705501618123,309,NA,NA,0.935995354005359,NA
S2_41479835,2,41479835,0.000502299395842571,0.344660194174757,309,NA,NA,0.935995354005359,NA
S6_88905566,6,88905566,0.000545296443839086,0.0711974110032362,309,NA,NA,0.935995354005359,NA
S4_37324338,4,37324338,0.000633187211064415,0.0501618122977346,309,NA,NA,0.935995354005359,NA
S5_74451357,5,74451357,0.000707283461226715,0.145631067961165,309,NA,NA,0.935995354005359,NA
S2_41479838,2,41479838,0.000801042365517863,0.402912621359223,309,NA,NA,0.935995354005359,NA
S6_65299800,6,65299800,0.00105871491532348,0.349514563106796,309,NA,NA,0.935995354005359,NA
S6_152177754,6,152177754,0.00108983361652714,0.273462783171521,309,NA,NA,0.935995354005359,NA
S7_127717098,7,127717098,0.00113913617887327,0.380258899676375,309,NA,NA,0.935995354005359,NA
S2_219293267,2,219293267,0.00114102201078175,0.260517799352751,309,NA,NA,0.935995354005359,NA
S8_111826335,8,111826335,0.00115415546723271,0.114886731391586,309,NA,NA,0.935995354005359,NA
S5_184287685,5,184287685,0.00128226303584281,0.233009708737864,309,NA,NA,0.935995354005359,NA
S2_24808069,2,24808069,0.00131339878635773,0.226537216828479,309,NA,NA,0.935995354005359,NA
S6_120019842,6,120019842,0.00141355630698668,0.0469255663430421,309,NA,NA,0.935995354005359,NA
S2_24808092,2,24808092,0.00163074866196323,0.228155339805825,309,NA,NA,0.935995354005359,NA
S8_68086571,8,68086571,0.00169544499647593,0.0614886731391586,309,NA,NA,0.935995354005359,NA
S3_67169624,3,67169624,0.00170131079516265,0.0663430420711974,309,NA,NA,0.935995354005359,NA
S5_74451449,5,74451449,0.00174071029961375,0.0889967637540453,309,NA,NA,0.935995354005359,NA
S2_5763447,2,5763447,0.00185474804372831,0.0792880258899676,309,NA,NA,0.935995354005359,NA
