SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S3_119638562,3,119638562,1.70008285479638e-05,0.0510204081632653,98,NA,NA,0.204213952518141,NA
S7_28818265,7,28818265,0.000118527487868467,0.0357142857142857,98,NA,NA,0.711876092138015,NA
S7_19055229,7,19055229,0.000528216348604909,0.0408163265306123,98,NA,NA,0.853796226722552,NA
S5_129223977,5,129223977,0.000574761253541514,0.0153061224489796,98,NA,NA,0.853796226722552,NA
S5_129223951,5,129223951,0.000574761253541536,0.0153061224489796,98,NA,NA,0.853796226722552,NA
S3_55169725,3,55169725,0.000781972615779173,0.0612244897959184,98,NA,NA,0.853796226722552,NA
S7_10651835,7,10651835,0.000897429291880429,0.0153061224489796,98,NA,NA,0.853796226722552,NA
S7_10651847,7,10651847,0.000897429291880447,0.0153061224489796,98,NA,NA,0.853796226722552,NA
S2_147324582,2,147324582,0.000929712596004808,0.127551020408163,98,NA,NA,0.853796226722552,NA
S2_147324583,2,147324583,0.000929712596004816,0.127551020408163,98,NA,NA,0.853796226722552,NA
S1_44955336,1,44955336,0.000991681392911122,0.0459183673469388,98,NA,NA,0.853796226722552,NA
S7_164954285,7,164954285,0.00100337879952419,0.0306122448979592,98,NA,NA,0.853796226722552,NA
S3_12289812,3,12289812,0.00106230254523375,0.0255102040816326,98,NA,NA,0.853796226722552,NA
S4_146135847,4,146135847,0.00109979159023119,0.0306122448979592,98,NA,NA,0.853796226722552,NA
S5_86143465,5,86143465,0.00113899354323036,0.0459183673469388,98,NA,NA,0.853796226722552,NA
S5_111341495,5,111341495,0.00131911854147854,0.0204081632653061,98,NA,NA,0.853796226722552,NA
S3_56900402,3,56900402,0.00140996706494124,0.0663265306122449,98,NA,NA,0.853796226722552,NA
S10_10245870,10,10245870,0.0015227838009037,0.112244897959184,98,NA,NA,0.853796226722552,NA
S5_156351614,5,156351614,0.00159572411990005,0.0255102040816326,98,NA,NA,0.853796226722552,NA
S5_32798131,5,32798131,0.00178648787849145,0.0204081632653061,98,NA,NA,0.853796226722552,NA
S5_111342223,5,111342223,0.00183118282336488,0.0204081632653061,98,NA,NA,0.853796226722552,NA
S5_111342212,5,111342212,0.00183118282336491,0.0204081632653061,98,NA,NA,0.853796226722552,NA
S6_90931158,6,90931158,0.00191724610160479,0.0204081632653061,98,NA,NA,0.853796226722552,NA
S4_159725237,4,159725237,0.00196275253793961,0.0816326530612245,98,NA,NA,0.853796226722552,NA
S6_128053636,6,128053636,0.00208615609209291,0.107142857142857,98,NA,NA,0.853796226722552,NA
S7_25091082,7,25091082,0.0021323582085977,0.494897959183674,98,NA,NA,0.853796226722552,NA
S5_111341918,5,111341918,0.00213235820859774,0.0102040816326531,98,NA,NA,0.853796226722552,NA
S5_111341931,5,111341931,0.00213235820859774,0.0102040816326531,98,NA,NA,0.853796226722552,NA
S6_23727065,6,23727065,0.00213235820859774,0.0102040816326531,98,NA,NA,0.853796226722552,NA
S6_105886145,6,105886145,0.00213235820859778,0.0102040816326531,98,NA,NA,0.853796226722552,NA
S3_184370366,3,184370366,0.00224781026312544,0.0561224489795918,98,NA,NA,0.870990221956864,NA
S3_49566352,3,49566352,0.00273689796467563,0.0255102040816326,98,NA,NA,1,NA
S2_66745772,2,66745772,0.00356267711583458,0.0510204081632653,98,NA,NA,1,NA
S6_149124892,6,149124892,0.00360872991358727,0.433673469387755,98,NA,NA,1,NA
