SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S4_40387026,4,40387026,1.03061790414953e-10,0.233082706766917,399,NA,NA,5.29356274108326e-06,NA
S3_217572130,3,217572130,2.93824713484004e-08,0.340852130325815,399,NA,NA,0.000754585937933944,NA
S3_212406545,3,212406545,1.53140449459278e-05,0.205513784461153,399,NA,NA,0.262191763519229,NA
S3_140831979,3,140831979,0.000100776019885105,0.200501253132832,399,NA,NA,1,NA
S2_189219020,2,189219020,0.000140560062179839,0.142857142857143,399,NA,NA,1,NA
S1_23424259,1,23424259,0.000168424447132406,0.235588972431078,399,NA,NA,1,NA
S5_77198702,5,77198702,0.000202602668709498,0.120300751879699,399,NA,NA,1,NA
S3_221275212,3,221275212,0.000230003322363036,0.224310776942356,399,NA,NA,1,NA
S8_163214768,8,163214768,0.000244109890212509,0.398496240601504,399,NA,NA,1,NA
S5_77435034,5,77435034,0.000341912426924547,0.18671679197995,399,NA,NA,1,NA
S8_170138796,8,170138796,0.000394173836085698,0.172932330827068,399,NA,NA,1,NA
S2_169758447,2,169758447,0.000397885349313167,0.220551378446115,399,NA,NA,1,NA
S1_188063758,1,188063758,0.000425404523435725,0.258145363408521,399,NA,NA,1,NA
S8_159954557,8,159954557,0.000458361445471481,0.101503759398496,399,NA,NA,1,NA
S5_188708014,5,188708014,0.000476800280210262,0.177944862155389,399,NA,NA,1,NA
S7_143872856,7,143872856,0.000485515395876413,0.110275689223058,399,NA,NA,1,NA
S2_179439761,2,179439761,0.000490310652069859,0.181704260651629,399,NA,NA,1,NA
S3_37092673,3,37092673,0.000505632530281771,0.162907268170426,399,NA,NA,1,NA
S1_292149872,1,292149872,0.000522984697517251,0.244360902255639,399,NA,NA,1,NA
S10_114852911,10,114852911,0.000553800204829736,0.0952380952380952,399,NA,NA,1,NA
S4_185566213,4,185566213,0.000558463401677104,0.0764411027568922,399,NA,NA,1,NA
S8_136047662,8,136047662,0.000566797551537451,0.298245614035088,399,NA,NA,1,NA
S7_143872857,7,143872857,0.000571955670336782,0.109022556390977,399,NA,NA,1,NA
S5_13274556,5,13274556,0.000602465320733175,0.150375939849624,399,NA,NA,1,NA
S5_13274561,5,13274561,0.000602465320733175,0.150375939849624,399,NA,NA,1,NA
S8_40686159,8,40686159,0.000611912367616296,0.484962406015038,399,NA,NA,1,NA
S8_170138806,8,170138806,0.000654898745364374,0.175438596491228,399,NA,NA,1,NA
S1_82024957,1,82024957,0.000681604246715607,0.355889724310777,399,NA,NA,1,NA
S7_160598929,7,160598929,0.000685155795523975,0.137844611528822,399,NA,NA,1,NA
S3_140832633,3,140832633,0.000690041970465943,0.203007518796993,399,NA,NA,1,NA
