SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S4_39543066,4,39543066,3.57434931032373e-15,0.283816425120773,414,NA,NA,1.83589303626158e-10,NA
S4_170464384,4,170464384,4.6624760392049e-06,0.394927536231884,414,NA,NA,0.119739378400841,NA
S2_209126136,2,209126136,5.01761305732327e-05,0.11231884057971,414,NA,NA,0.859065531544318,NA
S4_4480024,4,4480024,7.62940200538667e-05,0.179951690821256,414,NA,NA,0.979672438006689,NA
S7_32478663,7,32478663,0.000131185713046316,0.405797101449275,414,NA,NA,1,NA
S5_143975690,5,143975690,0.000181127803081881,0.144927536231884,414,NA,NA,1,NA
S5_143975714,5,143975714,0.000181127803081881,0.144927536231884,414,NA,NA,1,NA
S5_143975718,5,143975718,0.000181127803081881,0.144927536231884,414,NA,NA,1,NA
S9_151302712,9,151302712,0.0002038680875724,0.194444444444444,414,NA,NA,1,NA
S2_17221709,2,17221709,0.000209529550091751,0.20048309178744,414,NA,NA,1,NA
S1_33317992,1,33317992,0.000324682859758582,0.435990338164251,414,NA,NA,1,NA
S1_40051761,1,40051761,0.000369397109935372,0.118357487922705,414,NA,NA,1,NA
S9_152136819,9,152136819,0.00038021837981104,0.394927536231884,414,NA,NA,1,NA
S9_151630940,9,151630940,0.000426777509544992,0.439613526570048,414,NA,NA,1,NA
S8_137757371,8,137757371,0.000465958592789386,0.458937198067633,414,NA,NA,1,NA
S6_164775847,6,164775847,0.000466648155211262,0.17512077294686,414,NA,NA,1,NA
S3_217463628,3,217463628,0.000515433320052395,0.13768115942029,414,NA,NA,1,NA
S9_151631628,9,151631628,0.000520880397208489,0.483091787439614,414,NA,NA,1,NA
S1_276072210,1,276072210,0.000527264920588026,0.233091787439614,414,NA,NA,1,NA
S2_22952891,2,22952891,0.000536386501118078,0.179951690821256,414,NA,NA,1,NA
S10_14522425,10,14522425,0.000537256465458605,0.39975845410628,414,NA,NA,1,NA
S6_156394681,6,156394681,0.000561554863752941,0.300724637681159,414,NA,NA,1,NA
S7_4958550,7,4958550,0.000568912044937812,0.240338164251208,414,NA,NA,1,NA
S1_43678580,1,43678580,0.000577835899219955,0.351449275362319,414,NA,NA,1,NA
S9_151302692,9,151302692,0.000598431651943713,0.20048309178744,414,NA,NA,1,NA
S1_36915562,1,36915562,0.000617841753421866,0.109903381642512,414,NA,NA,1,NA
S1_231277868,1,231277868,0.000684677924824812,0.473429951690821,414,NA,NA,1,NA
S1_210525053,1,210525053,0.000685766178864281,0.195652173913043,414,NA,NA,1,NA
S10_126872972,10,126872972,0.000752208778509243,0.344202898550725,414,NA,NA,1,NA
S9_18765586,9,18765586,0.000766002835704334,0.269323671497585,414,NA,NA,1,NA
S7_126522527,7,126522527,0.000781066782650424,0.420289855072464,414,NA,NA,1,NA
S1_251103253,1,251103253,0.000803543565652906,0.157004830917874,414,NA,NA,1,NA
S5_76428858,5,76428858,0.000861879152713441,0.132850241545894,414,NA,NA,1,NA
S5_95002952,5,95002952,0.000895665096354015,0.183574879227053,414,NA,NA,1,NA
S3_3116657,3,3116657,0.000901591323320131,0.117149758454106,414,NA,NA,1,NA
S7_4958551,7,4958551,0.000918151994041754,0.252415458937198,414,NA,NA,1,NA
S3_216257315,3,216257315,0.000933458679129494,0.32487922705314,414,NA,NA,1,NA
S9_151630931,9,151630931,0.000938205576646983,0.43719806763285,414,NA,NA,1,NA
S4_66256143,4,66256143,0.000963990697931995,0.140096618357488,414,NA,NA,1,NA
S5_7603598,5,7603598,0.00101621673992454,0.135265700483092,414,NA,NA,1,NA
S2_22949097,2,22949097,0.00107555425367565,0.327294685990338,414,NA,NA,1,NA
S1_249091204,1,249091204,0.0010917048726315,0.297101449275362,414,NA,NA,1,NA
S4_166926309,4,166926309,0.00109262905753608,0.361111111111111,414,NA,NA,1,NA
S6_156394683,6,156394683,0.0010959256448428,0.304347826086957,414,NA,NA,1,NA
S7_141127051,7,141127051,0.00109975955508573,0.263285024154589,414,NA,NA,1,NA
S10_39184204,10,39184204,0.00112568282422314,0.173913043478261,414,NA,NA,1,NA
S8_33137479,8,33137479,0.0011774131632763,0.0857487922705314,414,NA,NA,1,NA
S3_166598028,3,166598028,0.00117990330376917,0.25,414,NA,NA,1,NA
S7_4958553,7,4958553,0.00120864378092007,0.254830917874396,414,NA,NA,1,NA
S7_32478065,7,32478065,0.00121164547178997,0.398550724637681,414,NA,NA,1,NA
S9_151654312,9,151654312,0.00131910709073511,0.451690821256039,414,NA,NA,1,NA
S10_117559569,10,117559569,0.00133300105065269,0.349033816425121,414,NA,NA,1,NA
S6_153098291,6,153098291,0.00136605617266307,0.1243961352657,414,NA,NA,1,NA
S8_170316621,8,170316621,0.00136924948454836,0.379227053140097,414,NA,NA,1,NA
S1_233230450,1,233230450,0.001383392555147,0.423913043478261,414,NA,NA,1,NA
S3_5778033,3,5778033,0.00138347859966253,0.0603864734299517,414,NA,NA,1,NA
S3_225123829,3,225123829,0.00140465271689969,0.329710144927536,414,NA,NA,1,NA
S3_225548498,3,225548498,0.00141065444970031,0.233091787439614,414,NA,NA,1,NA
S5_214905230,5,214905230,0.00142424234243719,0.136473429951691,414,NA,NA,1,NA
S9_144039023,9,144039023,0.00153888557559613,0.142512077294686,414,NA,NA,1,NA
S10_108117895,10,108117895,0.00158874460725188,0.165458937198068,414,NA,NA,1,NA
S3_2525594,3,2525594,0.00162235467747365,0.0833333333333334,414,NA,NA,1,NA
S3_217293307,3,217293307,0.00165260090216993,0.248792270531401,414,NA,NA,1,NA
S2_14219847,2,14219847,0.0016788763211007,0.466183574879227,414,NA,NA,1,NA
S3_217237944,3,217237944,0.00170561188751799,0.254830917874396,414,NA,NA,1,NA
S3_217098684,3,217098684,0.00172599047557693,0.277777777777778,414,NA,NA,1,NA
S3_5581280,3,5581280,0.00174709160715064,0.481884057971015,414,NA,NA,1,NA
S4_170468004,4,170468004,0.0018173183526627,0.422705314009662,414,NA,NA,1,NA
S3_221275200,3,221275200,0.00182890348528942,0.0736714975845411,414,NA,NA,1,NA
S3_221275202,3,221275202,0.00182890348528942,0.0736714975845411,414,NA,NA,1,NA
S9_30646283,9,30646283,0.00182911804811799,0.143719806763285,414,NA,NA,1,NA
S1_274942241,1,274942241,0.00183549284268686,0.397342995169082,414,NA,NA,1,NA
S8_166483609,8,166483609,0.00193371847720877,0.131642512077295,414,NA,NA,1,NA
S9_151285764,9,151285764,0.00194496284066098,0.184782608695652,414,NA,NA,1,NA
