SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S4_40387026,4,40387026,6.50855893522113e-07,0.249391727493917,411,NA,NA,0.00781808099298763,NA
S1_179988271,1,179988271,5.68829015602621e-05,0.0644768856447688,411,NA,NA,0.341638706770934,NA
S3_211231541,3,211231541,9.45250554728745e-05,0.271289537712895,411,NA,NA,0.378478322113389,NA
S5_164989887,5,164989887,0.00028332025723344,0.142335766423358,411,NA,NA,0.567207154981373,NA
S5_164989904,5,164989904,0.00028332025723344,0.142335766423358,411,NA,NA,0.567207154981373,NA
S5_164989901,5,164989901,0.000283320257233453,0.142335766423358,411,NA,NA,0.567207154981373,NA
S1_267531250,1,267531250,0.000355986136057423,0.171532846715328,411,NA,NA,0.610872209474537,NA
S2_229420138,2,229420138,0.000508632474065601,0.28345498783455,411,NA,NA,0.662316126601829,NA
S2_229420145,2,229420145,0.000508632474065601,0.28345498783455,411,NA,NA,0.662316126601829,NA
S4_170791486,4,170791486,0.00055137872677475,0.394160583941606,411,NA,NA,0.662316126601829,NA
S3_217572130,3,217572130,0.000878327155120633,0.343065693430657,411,NA,NA,0.908014110378173,NA
S3_217237944,3,217237944,0.000907107003374798,0.255474452554745,411,NA,NA,0.908014110378173,NA
S9_151276255,9,151276255,0.0013151428436813,0.142335766423358,411,NA,NA,1,NA
S8_162965133,8,162965133,0.00203844338914517,0.135036496350365,411,NA,NA,1,NA
S2_33350146,2,33350146,0.00212806208515404,0.110705596107056,411,NA,NA,1,NA
S5_152566837,5,152566837,0.00227433206045326,0.0632603406326034,411,NA,NA,1,NA
S1_295589320,1,295589320,0.00228646377579644,0.339416058394161,411,NA,NA,1,NA
S5_143164266,5,143164266,0.00239312259268954,0.0681265206812652,411,NA,NA,1,NA
S7_173251472,7,173251472,0.00240659814270927,0.111922141119221,411,NA,NA,1,NA
S5_167671610,5,167671610,0.00252827742497735,0.169099756690998,411,NA,NA,1,NA
S4_211650546,4,211650546,0.00253900036219029,0.463503649635037,411,NA,NA,1,NA
S5_82326164,5,82326164,0.00254236908151978,0.0924574209245742,411,NA,NA,1,NA
S5_145105976,5,145105976,0.00254906658365613,0.150851581508516,411,NA,NA,1,NA
S5_168667286,5,168667286,0.00255630195372547,0.287104622871046,411,NA,NA,1,NA
S9_24599545,9,24599545,0.00267392936097151,0.145985401459854,411,NA,NA,1,NA
S8_102533583,8,102533583,0.00289393275089957,0.223844282238443,411,NA,NA,1,NA
S2_235331291,2,235331291,0.00295060092175308,0.206812652068127,411,NA,NA,1,NA
S9_154454367,9,154454367,0.00297743375515538,0.0754257907542579,411,NA,NA,1,NA
S3_225548498,3,225548498,0.00306558979045447,0.231143552311436,411,NA,NA,1,NA
S10_122267264,10,122267264,0.00315457232268952,0.279805352798054,411,NA,NA,1,NA
S10_75809712,10,75809712,0.00318461764966121,0.17639902676399,411,NA,NA,1,NA
S7_127586454,7,127586454,0.00328774835352303,0.0766423357664233,411,NA,NA,1,NA
S10_148513275,10,148513275,0.00334225284518834,0.277372262773723,411,NA,NA,1,NA
S6_162133526,6,162133526,0.00338515023120732,0.204379562043796,411,NA,NA,1,NA
S7_127585813,7,127585813,0.00354836094045924,0.132603406326034,411,NA,NA,1,NA
S5_143164341,5,143164341,0.0038363957041882,0.0620437956204379,411,NA,NA,1,NA
S8_654993,8,654993,0.00389662597683361,0.195863746958637,411,NA,NA,1,NA
S3_211231275,3,211231275,0.00391709529848366,0.448905109489051,411,NA,NA,1,NA
S8_111625413,8,111625413,0.00400462393075235,0.161800486618005,411,NA,NA,1,NA
S5_32919574,5,32919574,0.00423095819779874,0.215328467153285,411,NA,NA,1,NA
S6_162991693,6,162991693,0.00424721462207368,0.498783454987835,411,NA,NA,1,NA
S2_1040966,2,1040966,0.00427771004155666,0.0851581508515815,411,NA,NA,1,NA
S8_171775667,8,171775667,0.00440824661342192,0.225060827250608,411,NA,NA,1,NA
S6_6430742,6,6430742,0.0045936937969937,0.428223844282238,411,NA,NA,1,NA
S4_239441029,4,239441029,0.00462284674640279,0.119221411192214,411,NA,NA,1,NA
S4_239441030,4,239441030,0.00462284674640279,0.119221411192214,411,NA,NA,1,NA
S5_62026627,5,62026627,0.00469673555601494,0.0754257907542579,411,NA,NA,1,NA
S5_167784581,5,167784581,0.00470351993674063,0.048661800486618,411,NA,NA,1,NA
S2_235888851,2,235888851,0.00473129529606512,0.0924574209245742,411,NA,NA,1,NA
S3_119697726,3,119697726,0.0047628720651566,0.0936739659367397,411,NA,NA,1,NA
S2_229420155,2,229420155,0.00478012623851366,0.321167883211679,411,NA,NA,1,NA
S5_76381644,5,76381644,0.0049291122327777,0.228710462287105,411,NA,NA,1,NA
S3_154250438,3,154250438,0.00523015827507608,0.279805352798054,411,NA,NA,1,NA
S4_11646594,4,11646594,0.00540169089005233,0.0851581508515815,411,NA,NA,1,NA
S5_169456575,5,169456575,0.00542884513088414,0.12287104622871,411,NA,NA,1,NA
S10_125127522,10,125127522,0.00562496851591868,0.399026763990268,411,NA,NA,1,NA
S1_292078249,1,292078249,0.0060217556869724,0.115571776155718,411,NA,NA,1,NA
S3_204285505,3,204285505,0.00604848764850294,0.37712895377129,411,NA,NA,1,NA
S2_9941635,2,9941635,0.00617767672699136,0.126520681265207,411,NA,NA,1,NA
S6_145529058,6,145529058,0.00627630721947012,0.422141119221411,411,NA,NA,1,NA
S5_60282947,5,60282947,0.00637040781548998,0.16301703163017,411,NA,NA,1,NA
S7_111662597,7,111662597,0.00639129703327442,0.25669099756691,411,NA,NA,1,NA
S9_86402181,9,86402181,0.00644331887786747,0.273722627737226,411,NA,NA,1,NA
S6_131832400,6,131832400,0.00651999820565463,0.259124087591241,411,NA,NA,1,NA
S3_187471397,3,187471397,0.00660280328947395,0.396593673965937,411,NA,NA,1,NA
S1_281632544,1,281632544,0.00703843444328281,0.257907542579075,411,NA,NA,1,NA
S5_214126979,5,214126979,0.00704047425366069,0.18978102189781,411,NA,NA,1,NA
S6_21465715,6,21465715,0.00748283511182952,0.400243309002433,411,NA,NA,1,NA
S6_102226213,6,102226213,0.00754654254087791,0.222627737226277,411,NA,NA,1,NA
S3_229900376,3,229900376,0.00755632024562583,0.0693430656934306,411,NA,NA,1,NA
S3_216482957,3,216482957,0.00793247609274946,0.276155717761557,411,NA,NA,1,NA
S8_28293528,8,28293528,0.00818309167933016,0.318734793187348,411,NA,NA,1,NA
S5_168446836,5,168446836,0.00846810321297509,0.228710462287105,411,NA,NA,1,NA
S3_93185590,3,93185590,0.00867456110503368,0.0815085158150852,411,NA,NA,1,NA
S5_156275094,5,156275094,0.00877507226485143,0.104622871046229,411,NA,NA,1,NA
S3_162179381,3,162179381,0.00882137003393867,0.0888077858880779,411,NA,NA,1,NA
S5_83861266,5,83861266,0.00882420563197998,0.119221411192214,411,NA,NA,1,NA
S1_93970634,1,93970634,0.00882687785463726,0.210462287104623,411,NA,NA,1,NA
S4_25464452,4,25464452,0.00884640489996334,0.0462287104622872,411,NA,NA,1,NA
S5_214126975,5,214126975,0.00909204580703507,0.201946472019465,411,NA,NA,1,NA
S5_169456692,5,169456692,0.00921319854729227,0.161800486618005,411,NA,NA,1,NA
S9_151662903,9,151662903,0.00935608136543324,0.0888077858880779,411,NA,NA,1,NA
S6_102226215,6,102226215,0.00936739281805796,0.271289537712895,411,NA,NA,1,NA
S6_102226217,6,102226217,0.00936739281805842,0.271289537712895,411,NA,NA,1,NA
S6_7046706,6,7046706,0.0094076413733908,0.192214111922141,411,NA,NA,1,NA
S6_3678022,6,3678022,0.00952207198578887,0.434306569343066,411,NA,NA,1,NA
S6_84672138,6,84672138,0.00968035248133016,0.105839416058394,411,NA,NA,1,NA
S2_41479838,2,41479838,0.00981765178547767,0.462287104622871,411,NA,NA,1,NA
S5_176611275,5,176611275,0.00989555417602003,0.206812652068127,411,NA,NA,1,NA
