SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S1_201957594,1,201957594,0.00020193584412623,0.463963963963964,111,NA,NA,1,NA
S3_10143040,3,10143040,0.000227209334510505,0.486486486486487,111,NA,NA,1,NA
S3_18184709,3,18184709,0.000269986844906704,0.364864864864865,111,NA,NA,1,NA
S3_10674683,3,10674683,0.000360684519724457,0.198198198198198,111,NA,NA,1,NA
S3_69965962,3,69965962,0.00144868880572991,0.36036036036036,111,NA,NA,1,NA
S7_141546627,7,141546627,0.0014529064640289,0.0990990990990991,111,NA,NA,1,NA
S6_118318317,6,118318317,0.00164168979136239,0.333333333333333,111,NA,NA,1,NA
S6_3428643,6,3428643,0.00177109104678935,0.027027027027027,111,NA,NA,1,NA
S1_201484798,1,201484798,0.00191648523548177,0.292792792792793,111,NA,NA,1,NA
S1_3739872,1,3739872,0.00193208419189975,0.0585585585585585,111,NA,NA,1,NA
S1_202445809,1,202445809,0.00215541390688736,0.477477477477477,111,NA,NA,1,NA
S8_167777578,8,167777578,0.0022113671544277,0.22972972972973,111,NA,NA,1,NA
S2_196387282,2,196387282,0.00239043442554271,0.108108108108108,111,NA,NA,1,NA
S3_10674682,3,10674682,0.00241002360213699,0.175675675675676,111,NA,NA,1,NA
S3_11212287,3,11212287,0.00263931609504616,0.45045045045045,111,NA,NA,1,NA
S2_213309308,2,213309308,0.00277713830496391,0.0540540540540541,111,NA,NA,1,NA
S1_201489918,1,201489918,0.00296087603930401,0.283783783783784,111,NA,NA,1,NA
S4_38296703,4,38296703,0.00299066097837318,0.292792792792793,111,NA,NA,1,NA
S3_32033765,3,32033765,0.00314143230020147,0.306306306306306,111,NA,NA,1,NA
S4_39544019,4,39544019,0.0031520067485921,0.427927927927928,111,NA,NA,1,NA
S9_8741151,9,8741151,0.00329171925259037,0.153153153153153,111,NA,NA,1,NA
S4_227273225,4,227273225,0.00330875991026278,0.0855855855855856,111,NA,NA,1,NA
S5_169456695,5,169456695,0.0034557831734632,0.108108108108108,111,NA,NA,1,NA
S8_172197953,8,172197953,0.00351775004455458,0.31981981981982,111,NA,NA,1,NA
S8_172197956,8,172197956,0.00351775004455458,0.31981981981982,111,NA,NA,1,NA
S1_201485064,1,201485064,0.00381862343513915,0.292792792792793,111,NA,NA,1,NA
S4_41839869,4,41839869,0.00403753337056853,0.45045045045045,111,NA,NA,1,NA
S1_82797750,1,82797750,0.00419742926870022,0.445945945945946,111,NA,NA,1,NA
S1_300634824,1,300634824,0.00421566231772954,0.400900900900901,111,NA,NA,1,NA
S1_300634825,1,300634825,0.00421566231772954,0.400900900900901,111,NA,NA,1,NA
S1_157053938,1,157053938,0.00422203370307036,0.378378378378378,111,NA,NA,1,NA
S1_202160385,1,202160385,0.00439729038832251,0.405405405405405,111,NA,NA,1,NA
S5_31827652,5,31827652,0.00461813401245191,0.0630630630630631,111,NA,NA,1,NA
S5_191372647,5,191372647,0.00468480185808917,0.157657657657658,111,NA,NA,1,NA
S3_9450337,3,9450337,0.00472730753110436,0.31981981981982,111,NA,NA,1,NA
S3_9450357,3,9450357,0.00472730753110436,0.31981981981982,111,NA,NA,1,NA
S4_202759867,4,202759867,0.00492432265402828,0.0225225225225225,111,NA,NA,1,NA
S2_233740261,2,233740261,0.00510301296102304,0.171171171171171,111,NA,NA,1,NA
S7_52303639,7,52303639,0.00515815075427056,0.396396396396396,111,NA,NA,1,NA
S3_10685514,3,10685514,0.00527296830441149,0.202702702702703,111,NA,NA,1,NA
S1_180818057,1,180818057,0.00529527701939228,0.148648648648649,111,NA,NA,1,NA
S3_164391120,3,164391120,0.00547096644975277,0.490990990990991,111,NA,NA,1,NA
S1_210096665,1,210096665,0.00557029076352217,0.130630630630631,111,NA,NA,1,NA
S1_202167950,1,202167950,0.00576862407700545,0.486486486486487,111,NA,NA,1,NA
S3_189691696,3,189691696,0.00588162903404979,0.126126126126126,111,NA,NA,1,NA
S2_14108062,2,14108062,0.00594976500360057,0.148648648648649,111,NA,NA,1,NA
S1_251103220,1,251103220,0.00595208189485394,0.292792792792793,111,NA,NA,1,NA
S4_35552145,4,35552145,0.00609406357292536,0.427927927927928,111,NA,NA,1,NA
S4_35552181,4,35552181,0.00609406357292536,0.427927927927928,111,NA,NA,1,NA
S2_4990680,2,4990680,0.00618635187210758,0.481981981981982,111,NA,NA,1,NA
S3_161956024,3,161956024,0.00622924079070726,0.5,111,NA,NA,1,NA
S10_143518722,10,143518722,0.00624152101549275,0.166666666666667,111,NA,NA,1,NA
S2_41958535,2,41958535,0.00652391047206593,0.414414414414414,111,NA,NA,1,NA
S8_7300873,8,7300873,0.00654311403566165,0.0945945945945946,111,NA,NA,1,NA
S8_105778046,8,105778046,0.00670888205166506,0.274774774774775,111,NA,NA,1,NA
S4_42817250,4,42817250,0.00684969806165605,0.292792792792793,111,NA,NA,1,NA
S6_60182741,6,60182741,0.00694253352857686,0.342342342342342,111,NA,NA,1,NA
S6_60182742,6,60182742,0.00694253352857686,0.342342342342342,111,NA,NA,1,NA
S6_118317813,6,118317813,0.00704184826997063,0.333333333333333,111,NA,NA,1,NA
S1_70768832,1,70768832,0.00715849285274543,0.310810810810811,111,NA,NA,1,NA
S1_70768843,1,70768843,0.00715849285274543,0.310810810810811,111,NA,NA,1,NA
S3_12289818,3,12289818,0.00757898635627198,0.441441441441441,111,NA,NA,1,NA
