SNP,Chromosome,Position,DF,t Value,std Error,effect
PZB00859.1,1,157104,271,0.184131232804782,0.338077313589755,0.0622505925346104
PZA01271.1,1,1947984,271,2.23112174372023,0.304107809123736,0.678501545371091
PZA03613.2,1,2914066,271,-0.937857277159187,0.328723676564937,-0.308295892240949
PZA03613.1,1,2914171,271,-1.1469303745426,0.366749746215618,-0.420636423790484
PZA03614.2,1,2915078,271,0.986506322763278,0.33058493301338,0.326124126627974
PZA03614.1,1,2915242,271,0.937574949012079,0.332411231437934,0.311660443366463
PZA00258.3,1,2973508,271,0.0094001592615123,0.35359027604239,0.00332380490812056
PZA02962.13,1,3205252,271,-0.656517100919142,0.450481468935747,-0.295748788003493
PZA02962.14,1,3205262,271,2.2418507987326,0.543372789355542,1.21816072182628
PZA00599.25,1,3206090,271,-1.1449409787317,0.477691527944638,-0.546928605536777
PZA02129.1,1,3706018,271,1.04014347204264,0.294873692005501,0.306710945816633
PZA00393.1,1,4175293,271,0.493269025999878,0.367447064822228,0.181250255771374
PZA02869.8,1,4429897,271,-1.03239108649463,0.385533378494699,-0.398021223504088
PZA02869.4,1,4429927,271,-1.12164072036206,0.376696733502779,-0.422518395524094
PZA02869.2,1,4430055,271,0.595661965783631,0.379408870309102,0.225999433524066
PZA02032.1,1,4490461,271,0.0623943415172832,0.446806102079643,0.0278781725251633
zagl1.5,1,4835434,NA,NA,NA,NA
zagl1.2,1,4835558,271,0.0983605790826674,0.774064985731249,0.0761374802441424
zagl1.6,1,4835658,271,1.12568634976113,1.13504462509064,1.27770424083428
PZD00081.2,1,4836542,271,0.151635913002533,1.10789822135969,0.16799715830976
zagl1.1,1,4912526,NA,NA,NA,NA
PZB00919.1,1,5353319,271,0.701049069478056,0.35575684777899,0.249403007095907
PZB00919.2,1,5353655,271,-1.71693508860645,0.711044262746174,-1.22081684426121
PHM2244.142,1,5562502,271,-0.313831866548127,0.479328001259357,-0.150428401324007
PZA03093.10,1,8075572,271,0.264229833104254,0.286482824261614,0.0756973088418817
PZA00181.5,1,8366368,271,0.277680658203169,0.467393147630222,0.129786036873611
PZA00181.2,1,8366411,271,2.02789280718136,0.344037065328699,0.697670290183851
PZA00528.1,1,8367944,271,0.50432679251085,0.387760290046004,0.195557903341978
PZA00175.2,1,8510027,271,-2.16193278508328,0.308902839952382,-0.667827177098388
PZA00447.6,1,9023947,271,2.16533040694146,0.324733156324943,0.703154577532473
PZA00447.8,1,9024005,271,-2.53604051519804,0.324817773788172,-0.823751034383235
PZB01915.1,1,9029842,271,-1.24943691895751,0.359128288937665,-0.448708142840758
PZA03128.1,1,9084948,271,0.288948349623979,0.326569037556381,0.0943615844402075
PZA03128.3,1,9084979,271,0.392711202143247,0.39249218400167,0.154136077411124
PZA02284.1,1,9273299,271,0.380430984160906,0.312604985809695,0.118924622405189
PZA00731.6,1,9300391,271,-0.292880186428271,0.359903519116189,-0.10540860977494
PZA00731.7,1,9300541,271,-1.72479072340628,0.327183026409642,-0.564322248807343
PZA03518.1,1,10065344,271,0.324168202242215,0.634146030218684,0.205569978575028
PZA03519.2,1,10065856,271,0.526206381580191,0.351054616576383,0.18472717952568
PZA03519.1,1,10066126,271,-0.505143682220125,0.357920440456933,-0.180801249234264
PZA03520.1,1,10067544,271,0.304366341357319,0.360092062508587,0.10959990361755
PZA03520.2,1,10067604,271,0.425002580795957,0.499877999485566,0.212449439864486
PZA03520.3,1,10067746,271,-0.306618295387162,0.747026167317075,-0.229051890032366
PZA03520.4,1,10067852,271,0.654631026086473,0.57884568625078,0.378930345536077
PZA03521.1,1,10068726,271,1.30337070994816,0.403254050078694,0.525589517540539
PZA00106.9,1,10069039,271,0.629977478498017,0.474536525288799,0.298947323656648
PZA00106.10,1,10069145,271,0.178525617035135,0.400797491541356,0.0715526194835547
PZA03551.1,1,12208400,271,-0.384681917597105,0.310903009419598,-0.119598765850242
PZA03551.2,1,12208569,271,0.719004681472448,0.355193545881394,0.255385822317521
PZA03552.1,1,12209727,271,0.240316284054527,0.432459753807797,0.103927121038225
PZA03552.2,1,12209786,271,1.30794838432693,0.842468957132995,1.10190591132769
PZA03557.1,1,12906197,271,1.23010786952705,0.357961700225339,0.440331504436472
PZA03558.3,1,12907213,271,-0.292147155812297,0.353327823081747,-0.103223718582683
PZA03663.1,1,14463283,271,-1.2492249116863,0.319791070284158,-0.399490971533794
PZA03663.2,1,14463522,271,-0.241046812596631,0.366147140924898,-0.088258601261316
PZA03662.2,1,14464249,271,0.764280726481599,0.542010379019874,0.414248086237876
PZA01497.1,1,14578834,271,-1.66223636575339,0.324886018294265,-0.540037354333549
PZA01652.1,1,14898863,271,0.539506508476934,0.337214164321124,0.181929236401857
PZA02393.2,1,16530875,271,0.830458706993257,0.309460272665625,0.256993977903676
PZB00648.4,1,17595070,271,0.414300769933027,0.747527048779677,0.309701031855184
PZB00648.5,1,17595139,271,-0.387021663890813,0.324012408314025,-0.125399821386964
PZB00648.3,1,17595165,271,0.579765905204925,0.969937739314778,0.562336831426251
PZB00718.1,1,17601375,271,-0.959045468020685,0.353064871784475,-0.338605265202204
PZB00718.2,1,17601417,271,-1.96242880679633,0.392797780968455,-0.770837680618172
PZB00718.6,1,17601517,271,-1.85137334555514,0.374281647903721,-0.692935066659402
PZB00718.3,1,17601571,271,0.586384824795126,0.362431616539753,0.212524399964877
PZB00718.5,1,17601655,271,-1.41989470949705,0.775411159369082,-1.10100220287313
PZA01030.1,1,17680592,271,0.738580907188527,0.562038561832311,0.415110950873043
PZD00035.4,1,17900705,NA,NA,NA,NA
PZA00358.12,1,18908016,271,-0.40531261904465,0.326575265457503,-0.132365076157782
PZA00425.9,1,21457466,271,-0.42779015675048,0.968425287075385,-0.414282805359107
PZA00425.11,1,21457474,271,0.888758259579577,0.289703674540376,0.257476533578313
PZA00425.4,1,21457569,271,-0.345811185264758,0.302108442759661,-0.104472478669209
PHM13619.5,1,22281738,271,0.554306167368378,0.313944926521437,0.174021608984845
PZA02487.1,1,22601426,271,1.36430301364067,0.35321366621676,0.481890469278596
PHM4531.46,1,22918337,271,-0.910142787266965,0.371347838672752,-0.337979556935181
PZD00096.1,1,23266657,271,0.490385646552949,0.389066923764501,0.190792834962622
PZD00097.2,1,23266988,271,-0.206077203058106,0.807183285256144,-0.166342073780839
PZD00097.1,1,23267335,271,-1.02735231276861,0.306524699943367,-0.314908859407524
PZD00098.2,1,23267835,271,-0.064915499693747,0.480587656050852,-0.0311975878391877
PZD00098.1,1,23267898,271,-0.515107062843064,0.356837969662593,-0.183809758463781
PZA02921.4,1,25035053,271,-2.11459288020914,0.331002286764598,-0.699935078925364
PZA02921.9,1,25035236,271,-0.50385855690268,0.411642623406759,-0.207409658189363
PZB01957.2,1,26283149,271,1.33853215854071,0.514207128157835,0.688282777190125
PZB01957.3,1,26283224,271,-0.35468344475611,0.467026684310363,-0.165646633184224
PZB01957.1,1,26283293,271,0.722112833884813,0.740728309694067,0.53488941885189
PZA03004.10,1,26449707,271,0.31012567233759,0.364300079686077,0.112978807145282
PZA03004.2,1,26449858,271,1.25111766279082,0.663099651399993,0.829615686056968
PZB02515.2,1,28084996,271,1.12480646091904,0.412053159677176,0.463480056246993
PZB02515.3,1,28085057,271,-0.788818465047142,0.34803149362416,-0.274533668588674
PZB02515.1,1,28085224,271,0.0787495647498523,0.316548524173924,0.0249280585009046
PZB02058.2,1,28526476,271,1.22647558000911,0.304926819967735,0.373985298380262
PZB02058.3,1,28526850,271,0.51011704033968,0.308079695453069,0.157156702433269
PZA00654.12,1,32583282,271,-0.176651972935454,0.58654402071723,-0.103614158473192
PZA00654.10,1,32583345,271,-0.136556690919589,0.604433899330044,-0.0825394931721348
PZA02490.1,1,32627736,271,-2.66155209861046,0.305266707346021,-0.812483245572707
PZA02806.4,1,34326335,271,-0.393732024736066,0.370146691987424,-0.145738606485565
PZA01455.1,1,34388212,271,0.0204382661627377,0.381907114206069,0.00780551924958672
PZB01662.3,1,34478962,NA,NA,NA,NA
PZB01662.2,1,34479054,271,0.719853588137641,0.504274219529186,0.363003606333393
PZB01662.1,1,34479214,271,-0.436268021374102,0.344097336195743,-0.150118664022216
PZA02686.1,1,34724095,271,-0.820043184835445,0.547437726144893,-0.448922576446932
PZA00017.1,1,35620725,271,-1.00653599139759,0.340744549219541,-0.342971652662015
PZA00017.4,1,35620809,271,-0.346833497378591,0.405180718242016,-0.140530245578248
PZA00192.7,1,35621803,271,0.210611789233545,0.391710988588079,0.0824989521689758
PZA00192.6,1,35621919,271,-0.24494749230616,0.393888362818624,-0.0964819667210008
PZA03345.2,1,36548480,271,0.989207135305985,0.567649600614698,0.561523035281652
PZA03345.1,1,36548526,271,-0.586815220717993,0.311666730092022,-0.182890781009405
PZA03345.3,1,36548537,271,-0.835848143578883,0.493971031809327,-0.412884769919572
PZA03345.5,1,36548621,271,-1.23765343350549,0.467791263688042,-0.578963463667378
PZA02271.1,1,38607726,271,1.06212973637556,0.67741516924974,0.71950279513203
PZB01440.2,1,40506950,NA,NA,NA,NA
PZA00240.6,1,41231748,271,-0.36948396331022,0.325803045692513,-0.120379000581011
PZA00240.4,1,41231931,271,-0.249240066914513,0.32364724736374,-0.0806658615896367
PHM3726.129,1,41390404,271,1.3488557412729,0.342868682952335,0.462480391502936
PZA00274.7,1,41505016,271,-0.904313955483714,0.357026338887528,-0.322863900731249
PZA00274.14,1,41505211,271,0.349719366449215,0.312131055725803,0.109158275057553
PZA02376.1,1,44506999,271,0.42369101785763,0.417882450836793,0.177053040939882
PZA03243.7,1,44531771,271,-0.569184854040949,0.561288308429614,-0.319476803908401
PZA03243.3,1,44531888,271,0.083824365059311,0.352740681103957,0.0295682636241281
PZA03243.6,1,44532145,271,-1.26316960098423,0.816501726708819,-1.03138016032972
PZA03243.4,1,44532279,271,-1.0774594300033,0.372079522314435,-0.400900590028812
PZA03243.2,1,44532330,271,-1.10384046693909,0.413069469763461,-0.455962796381982
PZA03742.2,1,44535266,271,1.48790238334792,0.402110583433666,0.598301295460374
PZA03742.1,1,44535423,271,1.17971916251873,0.409238763859037,0.482786811769984
PZB00033.1,1,44691505,271,-1.1334904543096,0.558605375245682,-0.633173860567013
PZB02517.1,1,45278871,271,-0.605743557374164,0.339128144030114,-0.205424688370499
PZA00081.17,1,45675053,271,0.139028817905912,1.64491217800865,0.228690195667582
PZA00081.18,1,45675182,271,1.48402690082568,0.514091781932226,0.762926033880831
PZA03183.3,1,46064887,271,0.0645750437740402,0.325160973398394,0.0209972840908108
PZA03183.4,1,46064981,271,-0.426886448767557,0.365070529004676,-0.155843661676499
PZA03183.2,1,46065083,271,-0.947675018991871,0.400409775491781,-0.379458341593704
PZA03183.5,1,46065084,271,1.08019319687245,0.476847027005316,0.515086914519998
PZB00872.1,1,46255037,271,0.889240977259069,0.390358883840066,0.347123115347699
PZB00872.3,1,46255059,271,1.34540268192137,0.498309873746354,0.670427440566243
PZD00010.3,1,46810807,271,1.6397289037486,0.436623258306321,0.715943776693763
ts2.3,1,46810810,271,-0.503006682100169,0.792015558200977,-0.398389118102386
ts2.4,1,46810918,271,-0.192536368252327,0.341275080491814,-0.0657078645729143
PZA03100.4,1,47280990,271,0.11327583848536,0.354865404088067,0.040197676197522
PZA03673.2,1,49531663,271,0.887057574226906,0.375847839559451,0.33339867283803
PZA03673.1,1,49531723,271,-0.55329464402456,0.353950145286104,-0.195838719638516
PZA03672.1,1,49533656,271,-1.96032507477112,0.413472558213725,-0.810540623596125
PZB02095.3,1,50136980,271,-1.12507612855473,0.660002063426783,-0.742552566358341
PZB02095.2,1,50137048,271,-0.215660592915867,0.850274492613832,-0.183370701218337
PHM4913.18,1,50197162,271,0.452361222238385,0.319881012742343,0.144701765894979
PZA00468.7,1,50197644,271,0.173035498404468,1.17879790129127,0.203973882368075
PZA03168.1,1,51514610,271,-1.93687180089404,0.304815237323725,-0.590388037655146
PZA03168.5,1,51514741,271,-0.484070598544292,0.540506725284972,-0.261643414025912
