SNP,Chromosome,Position,DF,t Value,std Error,effect
PZB00859.1,1,157104,244,2.05113944835981,0.311036464445934,0.63797916210342
PZA01271.1,1,1947984,244,0.880829265169684,0.275408211321163,0.242587612399717
PZA03613.2,1,2914066,244,-0.503909254660732,0.296711281684416,-0.149515560803025
PZA03613.1,1,2914171,244,0.431203365454351,0.333330850172998,0.143733384404356
PZA03614.2,1,2915078,244,-0.188386032644893,0.30381247162955,-0.05723402619833
PZA03614.1,1,2915242,244,1.32507567602692,0.298426601302983,0.395437830465966
PZA00258.3,1,2973508,244,-0.499066849575775,0.322210735122882,-0.160804696477271
PZA02962.13,1,3205252,244,0.324504339625184,0.40344109660193,0.130918386630469
PZA02962.14,1,3205262,244,0.0607817705230454,0.485649853847277,0.0295186579710958
PZA00599.25,1,3206090,244,0.153606632428016,0.459285889955507,0.0705493588777699
PZA02129.1,1,3706018,244,0.962025558460365,0.265061849865056,0.254996274142968
PZA00393.1,1,4175293,244,-1.3150440757435,0.337872552385547,-0.444317298370947
PZA02869.8,1,4429897,244,-1.49698356948987,0.343157743780565,-0.51370150418272
PZA02869.4,1,4429927,244,-1.86257579707553,0.338477796923175,-0.63044055239655
PZA02869.2,1,4430055,244,1.50756313009878,0.340057337501339,0.512657904136574
PZA02032.1,1,4490461,244,-1.22044195813929,0.397866965744389,-0.485573538752021
zagl1.5,1,4835434,NA,NA,NA,NA
zagl1.2,1,4835558,244,1.40966229798469,0.701925896322531,0.989478472024985
zagl1.6,1,4835658,244,-1.10656532565936,0.990751157684723,-1.09633087745078
PZD00081.2,1,4836542,244,1.24629439592337,0.966693358349733,1.20478451508761
zagl1.1,1,4912526,NA,NA,NA,NA
PZB00919.1,1,5353319,244,-0.182863846224931,0.335380508476526,-0.0613289697288906
PZB00919.2,1,5353655,244,0.584789198911534,0.631576371815342,0.369339040525347
PHM2244.142,1,5562502,244,-1.36717645723647,0.424624047822604,-0.580536001359519
PZA03093.10,1,8075572,244,0.271694418075276,0.260875608848883,0.0708784467362307
PZA00181.5,1,8366368,244,0.993611616707687,0.425918066765407,0.423197138903788
PZA00181.2,1,8366411,244,0.926513076298242,0.308950483064647,0.286246662488054
PZA00528.1,1,8367944,244,-0.154938112977585,0.349895599501788,-0.0542121639259676
PZA00175.2,1,8510027,244,0.212200159696453,0.280965796074955,0.0596209867963466
PZA00447.6,1,9023947,244,1.04947636267073,0.292812581489685,0.307299882966021
PZA00447.8,1,9024005,244,-0.781005793820704,0.29216108917961,-0.228179503378243
PZB01915.1,1,9029842,244,3.62829592709104,0.326413262816332,1.18432391202499
PZA03128.1,1,9084948,244,-0.310174268476267,0.296083291427338,-0.09183741832652
PZA03128.3,1,9084979,244,0.106801464261826,0.375948348129112,0.0401518340670037
PZA02284.1,1,9273299,244,-0.918991577585306,0.279475380989965,-0.256835521272222
PZA00731.6,1,9300391,244,0.382463472945902,0.332467248647889,0.12715657855864
PZA00731.7,1,9300541,244,0.226680968968599,0.299962022268184,0.0679956818615324
PZA03518.1,1,10065344,244,1.58400718961075,0.574701765371384,0.910331728230261
PZA03519.2,1,10065856,244,0.327495991598763,0.323804263220713,0.106044598267374
PZA03519.1,1,10066126,244,0.123734239077456,0.32923745538565,0.0407379460179413
PZA03520.1,1,10067544,244,-0.3451957255946,0.319071227877081,-0.110142024023389
PZA03520.2,1,10067604,244,-0.915605099002123,0.441477923799768,-0.404219438127939
PZA03520.3,1,10067746,244,1.20053558279419,0.658054553222246,0.790017906563037
PZA03520.4,1,10067852,244,-1.33944265495584,0.50799363268089,-0.680428340058754
PZA03521.1,1,10068726,244,-1.089409044926,0.356402166167916,-0.388267743454549
PZA00106.9,1,10069039,244,-1.25446862221207,0.417821864483594,-0.524144418668811
PZA00106.10,1,10069145,244,-0.0971036227418795,0.355191837899048,-0.034490414228344
PZA03551.1,1,12208400,244,0.349056541139998,0.286895429827286,0.100142726404385
PZA03551.2,1,12208569,244,-1.43773737341132,0.327925805261931,-0.47147118593108
PZA03552.1,1,12209727,244,-0.174062073993263,0.386220935275908,-0.0672264170137424
PZA03552.2,1,12209786,244,1.38888016928621,0.878424931784156,1.2200269679616
PZA03557.1,1,12906197,244,-2.11062585631101,0.323624110932713,-0.683049416260246
PZA03558.3,1,12907213,244,0.112332744774159,0.322523094371578,0.0362299044438146
PZA03663.1,1,14463283,244,1.56028975478663,0.290344565306553,0.453021650605791
PZA03663.2,1,14463522,244,1.3169425525989,0.334006207316988,0.43986698724791
PZA03662.2,1,14464249,244,-1.55958366776424,0.491329674869956,-0.766269736415097
PZA01497.1,1,14578834,244,1.25146905934265,0.300864751793271,0.376522927916085
PZA01652.1,1,14898863,244,1.51733953992081,0.308596594189955,0.468245814249315
PZA02393.2,1,16530875,244,0.285078410702517,0.284151949465851,0.0810055861517469
PZB00648.4,1,17595070,244,1.25713181710115,0.648919887420899,0.815777837226506
PZB00648.5,1,17595139,244,0.0482631069070466,0.292656885090967,0.0141245305322286
PZB00648.3,1,17595165,244,1.77450646296472,0.94983132373269,1.68548182268999
PZB00718.1,1,17601375,244,-0.840009616757055,0.326785575463954,-0.27450302600721
PZB00718.2,1,17601417,244,-1.89606942617667,0.361499107548263,-0.685427405412412
PZB00718.6,1,17601517,244,-1.42305751339049,0.349521756403172,-0.497389561542974
PZB00718.3,1,17601571,244,0.255282093046689,0.338485717950933,0.0864093425449255
PZB00718.5,1,17601655,244,-0.223197372455564,0.683354464325638,-0.152522920893261
PZA01030.1,1,17680592,244,1.2966968928588,0.506856372524904,0.657239083378727
PZD00035.4,1,17900705,NA,NA,NA,NA
PZA00358.12,1,18908016,244,0.113133589918917,0.295525070581151,0.033433812145887
PZA00425.9,1,21457466,244,1.15491069766692,0.926924619330289,1.07051515879539
PZA00425.11,1,21457474,244,0.18968745261208,0.265553230563428,0.0503721158384849
PZA00425.4,1,21457569,244,-0.248561437337162,0.276645345055911,-0.0687633645997323
PHM13619.5,1,22281738,244,-0.491061397349375,0.28988655928462,-0.142352098875108
PZA02487.1,1,22601426,244,0.415664325284299,0.318851552001985,0.132535215228756
