SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
S6_87402831,6,87402831,8.80447951827653e-06,0.432432432432432,111,NA,NA,0.452224481497238,NA
S3_10522302,3,10522302,3.11609695131602e-05,0.234234234234234,111,NA,NA,0.458051158454303,NA
S3_10522315,3,10522315,3.11609695131602e-05,0.234234234234234,111,NA,NA,0.458051158454303,NA
S3_217007830,3,217007830,5.19455946150944e-05,0.297297297297297,111,NA,NA,0.458051158454303,NA
S6_160237733,6,160237733,7.02023623307651e-05,0.463963963963964,111,NA,NA,0.458051158454303,NA
S6_160237750,6,160237750,7.02023623307651e-05,0.463963963963964,111,NA,NA,0.458051158454303,NA
S2_185691061,2,185691061,7.67498142382518e-05,0.324324324324324,111,NA,NA,0.458051158454303,NA
S3_217007797,3,217007797,8.02722321949679e-05,0.337837837837838,111,NA,NA,0.458051158454303,NA
S3_10522278,3,10522278,9.80971271732051e-05,0.252252252252252,111,NA,NA,0.458051158454303,NA
S3_10522279,3,10522279,9.80971271732051e-05,0.252252252252252,111,NA,NA,0.458051158454303,NA
S3_10522280,3,10522280,9.80971271732051e-05,0.252252252252252,111,NA,NA,0.458051158454303,NA
S6_162673816,6,162673816,0.000155499037539589,0.198198198198198,111,NA,NA,0.632215657195916,NA
S1_232519040,1,232519040,0.000183355232503088,0.387387387387387,111,NA,NA,0.632215657195916,NA
S3_10469610,3,10469610,0.00018444090864644,0.364864864864865,111,NA,NA,0.632215657195916,NA
S6_162673808,6,162673808,0.000184631638688136,0.193693693693694,111,NA,NA,0.632215657195916,NA
S6_160330853,6,160330853,0.000284160721655074,0.445945945945946,111,NA,NA,0.843051445139916,NA
S3_156284329,3,156284329,0.00029050184805158,0.207207207207207,111,NA,NA,0.843051445139916,NA
S1_199730706,1,199730706,0.000295444697788651,0.211711711711712,111,NA,NA,0.843051445139916,NA
S4_171545037,4,171545037,0.000430809519683289,0.301801801801802,111,NA,NA,1,NA
S2_204080464,2,204080464,0.000447858470290061,0.436936936936937,111,NA,NA,1,NA
S6_160330857,6,160330857,0.000497828880043965,0.481981981981982,111,NA,NA,1,NA
S6_164577110,6,164577110,0.000526045429286187,0.427927927927928,111,NA,NA,1,NA
S3_18219889,3,18219889,0.000535958305851952,0.297297297297297,111,NA,NA,1,NA
S3_18184709,3,18184709,0.000558992518564151,0.364864864864865,111,NA,NA,1,NA
S1_281168774,1,281168774,0.000700513182211395,0.454954954954955,111,NA,NA,1,NA
S3_217007778,3,217007778,0.000701616677808127,0.328828828828829,111,NA,NA,1,NA
S3_10674682,3,10674682,0.000727430929410404,0.175675675675676,111,NA,NA,1,NA
S6_160330852,6,160330852,0.000727500582888372,0.436936936936937,111,NA,NA,1,NA
S6_160330859,6,160330859,0.000727500582888372,0.436936936936937,111,NA,NA,1,NA
S6_88739645,6,88739645,0.000743757103583761,0.117117117117117,111,NA,NA,1,NA
S1_218564353,1,218564353,0.000753897199067063,0.315315315315315,111,NA,NA,1,NA
S7_167151832,7,167151832,0.000854980515085667,0.121621621621622,111,NA,NA,1,NA
S6_162673832,6,162673832,0.00086200919943108,0.220720720720721,111,NA,NA,1,NA
S6_164566704,6,164566704,0.000969399667883761,0.445945945945946,111,NA,NA,1,NA
S1_218564402,1,218564402,0.000995510996907583,0.306306306306306,111,NA,NA,1,NA
S1_231279327,1,231279327,0.00101461189199864,0.477477477477477,111,NA,NA,1,NA
S6_160234735,6,160234735,0.0010572293701811,0.445945945945946,111,NA,NA,1,NA
S6_160717796,6,160717796,0.00108555166972773,0.441441441441441,111,NA,NA,1,NA
S3_19655449,3,19655449,0.00109984158938138,0.36036036036036,111,NA,NA,1,NA
S1_199742002,1,199742002,0.00111025891006523,0.207207207207207,111,NA,NA,1,NA
S3_18219906,3,18219906,0.0011344484511859,0.292792792792793,111,NA,NA,1,NA
S3_69965962,3,69965962,0.00121264323303263,0.36036036036036,111,NA,NA,1,NA
S3_214202761,3,214202761,0.00121967560954649,0.274774774774775,111,NA,NA,1,NA
S1_199742008,1,199742008,0.00123148449245033,0.189189189189189,111,NA,NA,1,NA
S1_193590231,1,193590231,0.00123229719891786,0.193693693693694,111,NA,NA,1,NA
S1_119412581,1,119412581,0.00132741968718401,0.121621621621622,111,NA,NA,1,NA
S2_201146790,2,201146790,0.0013477123756757,0.198198198198198,111,NA,NA,1,NA
S6_162013599,6,162013599,0.00135624969826529,0.288288288288288,111,NA,NA,1,NA
S1_223688064,1,223688064,0.00136195244270974,0.238738738738739,111,NA,NA,1,NA
S3_29979146,3,29979146,0.00139514263288207,0.247747747747748,111,NA,NA,1,NA
S2_203590184,2,203590184,0.00141797476923261,0.184684684684685,111,NA,NA,1,NA
S4_49729967,4,49729967,0.00143399887681599,0.0675675675675676,111,NA,NA,1,NA
S1_282899897,1,282899897,0.00144628066052804,0.36036036036036,111,NA,NA,1,NA
S8_171575006,8,171575006,0.00144724554297028,0.315315315315315,111,NA,NA,1,NA
S3_13484423,3,13484423,0.00146906822761523,0.121621621621622,111,NA,NA,1,NA
S3_11212287,3,11212287,0.00148261697549886,0.45045045045045,111,NA,NA,1,NA
S6_162110522,6,162110522,0.00153028606617186,0.400900900900901,111,NA,NA,1,NA
S2_198896643,2,198896643,0.00153582751169616,0.265765765765766,111,NA,NA,1,NA
S3_216989160,3,216989160,0.00155120326055416,0.414414414414414,111,NA,NA,1,NA
S8_156627963,8,156627963,0.00157624058840758,0.261261261261261,111,NA,NA,1,NA
S3_21856427,3,21856427,0.00159551023650971,0.130630630630631,111,NA,NA,1,NA
S3_43360573,3,43360573,0.0016391629670043,0.477477477477477,111,NA,NA,1,NA
S7_159131968,7,159131968,0.00163963319852914,0.22972972972973,111,NA,NA,1,NA
S3_13538757,3,13538757,0.00168058697375036,0.144144144144144,111,NA,NA,1,NA
S7_156739266,7,156739266,0.00170827489272576,0.265765765765766,111,NA,NA,1,NA
S7_85263467,7,85263467,0.00173168230924652,0.171171171171171,111,NA,NA,1,NA
S2_183854646,2,183854646,0.00173970942063779,0.486486486486487,111,NA,NA,1,NA
S2_183854647,2,183854647,0.00173970942063779,0.486486486486487,111,NA,NA,1,NA
S6_164675847,6,164675847,0.00178474767975765,0.432432432432432,111,NA,NA,1,NA
S2_192226572,2,192226572,0.00188570927012725,0.405405405405405,111,NA,NA,1,NA
S3_209010981,3,209010981,0.0019000859556787,0.207207207207207,111,NA,NA,1,NA
S6_160684473,6,160684473,0.00190909897124732,0.441441441441441,111,NA,NA,1,NA
S1_281164046,1,281164046,0.00193986038495344,0.207207207207207,111,NA,NA,1,NA
S1_160252815,1,160252815,0.00196662058651095,0.189189189189189,111,NA,NA,1,NA
S4_142811707,4,142811707,0.00201421709987297,0.265765765765766,111,NA,NA,1,NA
S4_142811710,4,142811710,0.00201421709987297,0.265765765765766,111,NA,NA,1,NA
S6_164566657,6,164566657,0.00209649315617967,0.436936936936937,111,NA,NA,1,NA
S6_164307989,6,164307989,0.00210306901383297,0.490990990990991,111,NA,NA,1,NA
S8_172197953,8,172197953,0.00225426780160554,0.31981981981982,111,NA,NA,1,NA
S8_172197956,8,172197956,0.00225426780160554,0.31981981981982,111,NA,NA,1,NA
S6_163434830,6,163434830,0.00227470129117221,0.445945945945946,111,NA,NA,1,NA
S1_223688082,1,223688082,0.00229154330638927,0.234234234234234,111,NA,NA,1,NA
S1_282745085,1,282745085,0.00229196041897451,0.207207207207207,111,NA,NA,1,NA
S1_282745088,1,282745088,0.00229196041897451,0.207207207207207,111,NA,NA,1,NA
S6_164143190,6,164143190,0.00229438892454128,0.31981981981982,111,NA,NA,1,NA
S3_5336226,3,5336226,0.00231137511574877,0.396396396396396,111,NA,NA,1,NA
S3_32541477,3,32541477,0.00232225053609138,0.463963963963964,111,NA,NA,1,NA
S6_163818814,6,163818814,0.00232357610877572,0.310810810810811,111,NA,NA,1,NA
S2_157583392,2,157583392,0.00232467494404999,0.414414414414414,111,NA,NA,1,NA
S7_170252544,7,170252544,0.00244842990542805,0.427927927927928,111,NA,NA,1,NA
S4_37101046,4,37101046,0.00245256934834265,0.418918918918919,111,NA,NA,1,NA
S2_4664814,2,4664814,0.00247746200337616,0.342342342342342,111,NA,NA,1,NA
S8_161543731,8,161543731,0.0025036724362592,0.351351351351351,111,NA,NA,1,NA
S1_232521128,1,232521128,0.00253066765984088,0.297297297297297,111,NA,NA,1,NA
S6_79915910,6,79915910,0.00258108681797895,0.382882882882883,111,NA,NA,1,NA
S6_162676771,6,162676771,0.00258158475812236,0.220720720720721,111,NA,NA,1,NA
S6_162009915,6,162009915,0.00258832662416239,0.45045045045045,111,NA,NA,1,NA
S7_31086650,7,31086650,0.00264644686150275,0.0720720720720721,111,NA,NA,1,NA
S2_207831696,2,207831696,0.00268551245311766,0.342342342342342,111,NA,NA,1,NA
S6_160237010,6,160237010,0.00273527944918882,0.310810810810811,111,NA,NA,1,NA
S1_180625402,1,180625402,0.00279457500276044,0.418918918918919,111,NA,NA,1,NA
